"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","Common","Enabled","Native","JVM","TestKIR","Dedicated","Reference","JS","Methods","InstrumentPropertyAccessors","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"170494.2","154065","35178.51306565137","142621","285345","160743.2136648136","180245.18633518642","commonmain-plain-jar","1901.3067","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","2026-06-27 03:41:12","918e3caa3cb6c6442cb3bb1b5703dbc86831985d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.86","145","85","0.02","163","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6170.1103","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","2026-06-27 03:41:12","918e3caa3cb6c6442cb3bb1b5703dbc86831985d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.86","145","85","0.02","163","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"133283.24","131660","4673.418652379451","128798","157918","131987.83443999488","134578.6455600051","commonmain-plain-linux-exe","16943.367","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","2026-06-27 03:41:12","918e3caa3cb6c6442cb3bb1b5703dbc86831985d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.86","145","85","0.02","163","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"150781.1","150318.5","5306.57655986553","138735","166912","149310.19202201633","152252.00797798368","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2608.3994","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","2026-06-27 03:41:12","918e3caa3cb6c6442cb3bb1b5703dbc86831985d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.86","145","85","0.02","163","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3687.4789","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","2026-06-27 03:41:12","918e3caa3cb6c6442cb3bb1b5703dbc86831985d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.86","145","85","0.02","163","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"132492.68","132506.5","1982.941635087444","127252","137631","131943.03662106793","133042.32337893205","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","17993.1363","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","2026-06-27 03:41:12","918e3caa3cb6c6442cb3bb1b5703dbc86831985d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.86","145","85","0.02","163","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152369.7","151943","4786.557321269215","144357","163344","151042.93400096023","153696.4659990398","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2608.3994","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","2026-06-27 03:41:12","918e3caa3cb6c6442cb3bb1b5703dbc86831985d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.86","145","85","0.02","163","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3687.4789","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","2026-06-27 03:41:12","918e3caa3cb6c6442cb3bb1b5703dbc86831985d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.86","145","85","0.02","163","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"133227.44","133148.5","3128.5361652285337","128291","143802","132360.25401805277","134094.62598194723","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","17993.1363","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","2026-06-27 03:41:12","918e3caa3cb6c6442cb3bb1b5703dbc86831985d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.86","145","85","0.02","163","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152076.56","151360.5","4832.11393787144","142182","161939","150737.16635108952","153415.95364891048","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1755.7169","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","2026-06-27 03:41:12","918e3caa3cb6c6442cb3bb1b5703dbc86831985d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.86","145","85","0.02","163","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
