"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","FlushEarly","Methods","InstrumentPropertyAccessors","Enabled","Dedicated","JS","Native","Common","JVM","CILabel","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"186875.08","185004","6252.195822726146","180551","216193","185142.05973508608","188608.1002649139","commonmain-plain-jar","2867.0881","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","True","True","ci-windows-large","True","2026-06-28 02:43:36","654e672c12198cba8278ce4cf37c566a44b9b626","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.73","High performance","1.11","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8173.9602","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","True","True","ci-windows-large","True","2026-06-28 02:43:36","654e672c12198cba8278ce4cf37c566a44b9b626","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.73","High performance","1.11","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220682.64","219458.5","4412.182151401146","216604","241856","219459.6455037183","221905.63449628174","commonmain-plain-win-exe","94029.3426","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","True","True","ci-windows-large","True","2026-06-28 02:43:36","654e672c12198cba8278ce4cf37c566a44b9b626","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.73","High performance","1.11","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186171.22","185197","4483.432305313256","181393","208724","184928.4759686575","187413.9640313425","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3464.7111","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","True","True","ci-windows-large","True","2026-06-28 02:43:36","654e672c12198cba8278ce4cf37c566a44b9b626","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.73","High performance","1.11","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5173.9158","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","True","True","ci-windows-large","True","2026-06-28 02:43:36","654e672c12198cba8278ce4cf37c566a44b9b626","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.73","High performance","1.11","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"218880.36","217987","3802.666179384766","214610","230306","217826.31471152356","219934.4052884764","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","23082.0653","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","True","True","ci-windows-large","True","2026-06-28 02:43:36","654e672c12198cba8278ce4cf37c566a44b9b626","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.73","High performance","1.11","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"183908.54","183777.5","2625.1474532735438","178680","192899","183180.88625019687","184636.19374980315","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3464.7111","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","True","True","ci-windows-large","True","2026-06-28 02:43:36","654e672c12198cba8278ce4cf37c566a44b9b626","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.73","High performance","1.11","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5173.9158","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","True","True","ci-windows-large","True","2026-06-28 02:43:36","654e672c12198cba8278ce4cf37c566a44b9b626","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.73","High performance","1.11","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221076.52","217895","10928.585070467678","215275","285766","218047.2707680561","224105.76923194388","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","23082.0653","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","True","True","ci-windows-large","True","2026-06-28 02:43:36","654e672c12198cba8278ce4cf37c566a44b9b626","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.73","High performance","1.11","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"183907.52","183818","1994.923897479474","179592","189863","183354.55530738333","184460.48469261665","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3336.3513","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","True","True","ci-windows-large","True","2026-06-28 02:43:36","654e672c12198cba8278ce4cf37c566a44b9b626","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.73","High performance","1.11","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
