"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","Reference","Enabled","Methods","Dedicated","Common","FlushEarly","Native","JVM","CILabel","InstrumentPropertyAccessors","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"153976.64","152126.5","10607.148671013318","142387","219572","151036.48839230367","156916.79160769636","commonmain-plain-jar","1985.338","50","False","500","System.Boolean[]","True","System.Boolean[]","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","True","2026-06-28 04:04:50","5ec537e12dad1fea3ca4304f11e300de87faefc3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","85","0.02","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6076.3166","50","False","500","System.Boolean[]","True","System.Boolean[]","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","True","2026-06-28 04:04:50","5ec537e12dad1fea3ca4304f11e300de87faefc3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","85","0.02","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136994.86","136327.5","5939.512760920953","130676","172122","135348.51105792503","138641.20894207494","commonmain-plain-linux-exe","17246.4639","50","False","500","System.Boolean[]","True","System.Boolean[]","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","True","2026-06-28 04:04:50","5ec537e12dad1fea3ca4304f11e300de87faefc3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","85","0.02","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153738.74","153697","5251.588586906104","143134","167275","152283.07391049314","155194.40608950684","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2344.5665","50","False","500","System.Boolean[]","True","System.Boolean[]","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","True","2026-06-28 04:04:50","5ec537e12dad1fea3ca4304f11e300de87faefc3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","85","0.02","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3478.1563","50","False","500","System.Boolean[]","True","System.Boolean[]","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","True","2026-06-28 04:04:50","5ec537e12dad1fea3ca4304f11e300de87faefc3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","85","0.02","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135915.96","134702.5","3678.551600279432","131089","146481","134896.31751765113","136935.60248234886","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","36509.3237","50","False","500","System.Boolean[]","True","System.Boolean[]","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","True","2026-06-28 04:04:50","5ec537e12dad1fea3ca4304f11e300de87faefc3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","85","0.02","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153054.54","152298.5","4350.823497984289","144762","161355","151848.55325472518","154260.52674527484","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2344.5665","50","False","500","System.Boolean[]","True","System.Boolean[]","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","True","2026-06-28 04:04:50","5ec537e12dad1fea3ca4304f11e300de87faefc3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","85","0.02","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3478.1563","50","False","500","System.Boolean[]","True","System.Boolean[]","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","True","2026-06-28 04:04:50","5ec537e12dad1fea3ca4304f11e300de87faefc3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","85","0.02","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136211.4","135073.5","3643.472922744934","131386","151595","135201.48083098893","137221.31916901105","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","36509.3237","50","False","500","System.Boolean[]","True","System.Boolean[]","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","True","2026-06-28 04:04:50","5ec537e12dad1fea3ca4304f11e300de87faefc3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","85","0.02","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152028.78","151932.5","4438.26288085686","141771","162391","150798.55629434096","153259.00370565904","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2606.283","50","False","500","System.Boolean[]","True","System.Boolean[]","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","System.Boolean[]","True","2026-06-28 04:04:50","5ec537e12dad1fea3ca4304f11e300de87faefc3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","85","0.02","160","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
