"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","Reference","InstrumentPropertyAccessors","Native","FlushEarly","Dedicated","Common","CILabel","JS","JVM","Methods","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"219803.64","217981.5","7454.323579709991","209934","250261","217737.4069210703","221869.87307892973","commonmain-plain-jar","2778.1768","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-windows-large","True","True","System.String[]","System.Boolean[]","2026-06-29 02:44:58","728f53827d0e46ad7766d019f3aca732509aa46f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.08","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.47","129","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7849.7853","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-windows-large","True","True","System.String[]","System.Boolean[]","2026-06-29 02:44:58","728f53827d0e46ad7766d019f3aca732509aa46f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.08","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.47","129","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"256403.78","250435.5","17940.90910409014","228892","328742","251430.81371264378","261376.74628735622","commonmain-plain-win-exe","112578.3778","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-windows-large","True","True","System.String[]","System.Boolean[]","2026-06-29 02:44:58","728f53827d0e46ad7766d019f3aca732509aa46f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.08","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.47","129","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220870.92","220734.5","7295.227144887964","205963","245516","218848.786202897","222893.05379710303","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4391.6588","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-windows-large","True","True","System.String[]","System.Boolean[]","2026-06-29 02:44:58","728f53827d0e46ad7766d019f3aca732509aa46f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.08","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.47","129","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","25212.0031","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-windows-large","True","True","System.String[]","System.Boolean[]","2026-06-29 02:44:58","728f53827d0e46ad7766d019f3aca732509aa46f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.08","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.47","129","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"270439.5","272212.5","19260.884791436234","232953","327393","265100.6551189105","275778.3448810895","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","45124.1759","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-windows-large","True","True","System.String[]","System.Boolean[]","2026-06-29 02:44:58","728f53827d0e46ad7766d019f3aca732509aa46f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.08","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.47","129","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225855.42","226372","24608.0356280842","189791","269446","219034.420525195","232676.41947480504","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4391.6588","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-windows-large","True","True","System.String[]","System.Boolean[]","2026-06-29 02:44:58","728f53827d0e46ad7766d019f3aca732509aa46f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.08","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.47","129","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","25212.0031","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-windows-large","True","True","System.String[]","System.Boolean[]","2026-06-29 02:44:58","728f53827d0e46ad7766d019f3aca732509aa46f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.08","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.47","129","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231764.06","231512.5","10817.600924966531","215808","261225","228765.5740036762","234762.54599632378","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","45124.1759","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-windows-large","True","True","System.String[]","System.Boolean[]","2026-06-29 02:44:58","728f53827d0e46ad7766d019f3aca732509aa46f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.08","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.47","129","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"198035.2","197909.5","11782.220004943805","181152","222120","194769.3352361324","201301.06476386762","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2824.7872","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-windows-large","True","True","System.String[]","System.Boolean[]","2026-06-29 02:44:58","728f53827d0e46ad7766d019f3aca732509aa46f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.08","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.47","129","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
