"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Native","Methods","TestKIR","CILabel","InstrumentPropertyAccessors","Enabled","FlushEarly","Common","JVM","Dedicated","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"153370.52","151401.5","6409.619576217979","143754","173027","151593.86409686942","155147.17590313056","commonmain-plain-jar","1919.8998","50","False","500","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","2026-06-29 04:11:39","e241d914e2a6e1d12a5d037e9ca9945eb5faa71f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.68","145","85","0.05","166","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6312.2807","50","False","500","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","2026-06-29 04:11:39","e241d914e2a6e1d12a5d037e9ca9945eb5faa71f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.68","145","85","0.05","166","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"133021.34","132567.5","3260.359793654932","127842","143505","132117.61437247306","133925.06562752693","commonmain-plain-linux-exe","16914.1643","50","False","500","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","2026-06-29 04:11:39","e241d914e2a6e1d12a5d037e9ca9945eb5faa71f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.68","145","85","0.05","166","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153032.88","152606","4398.171413351745","144341","161988","151813.76908216887","154251.99091783114","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2209.8338","50","False","500","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","2026-06-29 04:11:39","e241d914e2a6e1d12a5d037e9ca9945eb5faa71f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.68","145","85","0.05","166","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3829.3015","50","False","500","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","2026-06-29 04:11:39","e241d914e2a6e1d12a5d037e9ca9945eb5faa71f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.68","145","85","0.05","166","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"133395.94","132671.5","3020.428003256681","129053","143437","132558.7200717101","134233.1599282899","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","15831.2672","50","False","500","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","2026-06-29 04:11:39","e241d914e2a6e1d12a5d037e9ca9945eb5faa71f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.68","145","85","0.05","166","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153084.74","152836","4595.702272776164","143934","165094","151810.87632137336","154358.60367862662","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2209.8338","50","False","500","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","2026-06-29 04:11:39","e241d914e2a6e1d12a5d037e9ca9945eb5faa71f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.68","145","85","0.05","166","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3829.3015","50","False","500","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","2026-06-29 04:11:39","e241d914e2a6e1d12a5d037e9ca9945eb5faa71f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.68","145","85","0.05","166","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"132971.16","132685.5","2575.415412182299","128289","139026","132257.29126868804","133685.02873131196","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","15831.2672","50","False","500","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","2026-06-29 04:11:39","e241d914e2a6e1d12a5d037e9ca9945eb5faa71f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.68","145","85","0.05","166","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152578.56","152291","4959.919289007573","144784","162426","151203.74051514908","153953.3794848509","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1644.5546","50","False","500","True","True","System.String[]","System.Boolean[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","False","True","2026-06-29 04:11:39","e241d914e2a6e1d12a5d037e9ca9945eb5faa71f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.68","145","85","0.05","166","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
