"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","JS","JVM","TestKIR","InstrumentPropertyAccessors","Enabled","Reference","Native","FlushEarly","Methods","Dedicated","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"144606.36","143460","7623.338177583092","130555","168052","142493.27846470624","146719.44153529374","commonmain-plain-jar","1950.6529","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.String[]","False","True","2026-06-30 03:54:15","0c2de2a8c4c3817d8d63979c1f230cfa24625366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.97","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6279.2018","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.String[]","False","True","2026-06-30 03:54:15","0c2de2a8c4c3817d8d63979c1f230cfa24625366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.97","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144746.06","143341.5","5836.24201988693","138375","176563","143128.3362469081","146363.7837530919","commonmain-plain-linux-exe","17607.3524","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.String[]","False","True","2026-06-30 03:54:15","0c2de2a8c4c3817d8d63979c1f230cfa24625366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.97","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144111.32","143331","5041.655722688971","132152","156290","142713.84433163085","145508.79566836916","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2713.4458","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.String[]","False","True","2026-06-30 03:54:15","0c2de2a8c4c3817d8d63979c1f230cfa24625366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.97","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4374.6376","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.String[]","False","True","2026-06-30 03:54:15","0c2de2a8c4c3817d8d63979c1f230cfa24625366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.97","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143029.76","143296.5","2649.8679409528686","137827","148495","142295.25408060374","143764.26591939628","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","18991.4961","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.String[]","False","True","2026-06-30 03:54:15","0c2de2a8c4c3817d8d63979c1f230cfa24625366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.97","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143316.16","142433.5","4787.408494825412","136004","156226","141989.15806768756","144643.16193231245","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2713.4458","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.String[]","False","True","2026-06-30 03:54:15","0c2de2a8c4c3817d8d63979c1f230cfa24625366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.97","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4374.6376","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.String[]","False","True","2026-06-30 03:54:15","0c2de2a8c4c3817d8d63979c1f230cfa24625366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.97","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144113.7","143413","3753.581279041037","137935","159081","143073.26035175126","145154.13964824876","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","18991.4961","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.String[]","False","True","2026-06-30 03:54:15","0c2de2a8c4c3817d8d63979c1f230cfa24625366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.97","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143764.14","143276","5061.609214187012","134469","157515","142361.13350596538","145167.14649403465","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2450.2503","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.String[]","False","True","2026-06-30 03:54:15","0c2de2a8c4c3817d8d63979c1f230cfa24625366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.97","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
