"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","CILabel","Methods","Enabled","FlushEarly","InstrumentPropertyAccessors","JVM","Reference","Common","JS","TestKIR","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"143179.76","142694","5712.675003562388","131633","159829","141596.28727637633","144763.2327236237","commonmain-plain-jar","1929.1673","50","False","500","True","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","False","2026-07-01 04:08:58","9b3afb54f577247333ea208851a7b9ef0cfac2e7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.01","145","85","0.87","154","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5775.8939","50","False","500","True","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","False","2026-07-01 04:08:58","9b3afb54f577247333ea208851a7b9ef0cfac2e7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.01","145","85","0.87","154","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142968.14","142147.5","3608.092248526574","137621","153074","141968.02785353674","143968.2521464633","commonmain-plain-linux-exe","16438.9582","50","False","500","True","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","False","2026-07-01 04:08:58","9b3afb54f577247333ea208851a7b9ef0cfac2e7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.01","145","85","0.87","154","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142265.26","141892","4175.4866650731965","135310","151335","141107.87414523412","143422.6458547659","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2030.6334","50","False","500","True","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","False","2026-07-01 04:08:58","9b3afb54f577247333ea208851a7b9ef0cfac2e7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.01","145","85","0.87","154","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3758.8617","50","False","500","True","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","False","2026-07-01 04:08:58","9b3afb54f577247333ea208851a7b9ef0cfac2e7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.01","145","85","0.87","154","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143040.74","141646.5","4982.225168024622","137145","168279","141659.73764093025","144421.74235906973","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","15672.5302","50","False","500","True","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","False","2026-07-01 04:08:58","9b3afb54f577247333ea208851a7b9ef0cfac2e7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.01","145","85","0.87","154","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143698.22","143870","4475.394714276208","135481","154671","142457.70387522716","144938.73612477284","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2030.6334","50","False","500","True","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","False","2026-07-01 04:08:58","9b3afb54f577247333ea208851a7b9ef0cfac2e7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.01","145","85","0.87","154","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3758.8617","50","False","500","True","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","False","2026-07-01 04:08:58","9b3afb54f577247333ea208851a7b9ef0cfac2e7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.01","145","85","0.87","154","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143301.62","143379","2832.3207106108416","137951","152961","142516.54075306052","144086.69924693948","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","15672.5302","50","False","500","True","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","False","2026-07-01 04:08:58","9b3afb54f577247333ea208851a7b9ef0cfac2e7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.01","145","85","0.87","154","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143034.74","143207.5","5045.548584926831","134160","156477","141636.18528527048","144433.2947147295","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1525.583","50","False","500","True","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","False","2026-07-01 04:08:58","9b3afb54f577247333ea208851a7b9ef0cfac2e7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.01","145","85","0.87","154","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
