"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","Methods","JVM","InstrumentPropertyAccessors","Common","Native","Enabled","Reference","JS","FlushEarly","CILabel","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"158999.54","145212","37885.85948108893","135988","302988","148498.1155251378","169500.9644748622","commonmain-plain-jar","1967.824","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","False","2026-07-02 03:50:11","224946ffe92e5ecfbe166c79b1a00a60d5642325","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","85","0.03","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5918.8372","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","False","2026-07-02 03:50:11","224946ffe92e5ecfbe166c79b1a00a60d5642325","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","85","0.03","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"129262.42","128464","4287.44592202464","122216","150352","128074.00062250977","130450.83937749022","commonmain-plain-linux-exe","15581.2035","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","False","2026-07-02 03:50:11","224946ffe92e5ecfbe166c79b1a00a60d5642325","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","85","0.03","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144388.9","144649.5","5121.074533489142","136575","158583","142969.41056039996","145808.38943960003","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2130.4594","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","False","2026-07-02 03:50:11","224946ffe92e5ecfbe166c79b1a00a60d5642325","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","85","0.03","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3700.8083","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","False","2026-07-02 03:50:11","224946ffe92e5ecfbe166c79b1a00a60d5642325","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","85","0.03","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"128522.7","128553","3267.9901971351487","122818","136091","127616.8593325358","129428.5406674642","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","18102.9163","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","False","2026-07-02 03:50:11","224946ffe92e5ecfbe166c79b1a00a60d5642325","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","85","0.03","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144690.24","144669.5","4926.7824146833045","134335","161947","143324.60558809753","146055.87441190245","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2130.4594","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","False","2026-07-02 03:50:11","224946ffe92e5ecfbe166c79b1a00a60d5642325","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","85","0.03","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3700.8083","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","False","2026-07-02 03:50:11","224946ffe92e5ecfbe166c79b1a00a60d5642325","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","85","0.03","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"128389.96","127983.5","3257.4100827723455","121971","138565","127487.05199061557","129292.86800938445","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","18102.9163","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","False","2026-07-02 03:50:11","224946ffe92e5ecfbe166c79b1a00a60d5642325","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","85","0.03","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144218.62","144202.5","5209.777114939461","134747","158209","142774.5434592339","145662.6965407661","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2633.5127","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","False","2026-07-02 03:50:11","224946ffe92e5ecfbe166c79b1a00a60d5642325","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","85","0.03","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
