"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","FlushEarly","Enabled","JS","Dedicated","JVM","CILabel","InstrumentPropertyAccessors","Common","Reference","TestKIR","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"155284.6","154229","6947.892339348938","145188","186578","153358.7424990618","157210.4575009382","commonmain-plain-jar","1887.5048","50","False","500","True","System.Boolean[]","System.Boolean[]","True","False","True","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-07-03 03:31:20","fa236d53b2b5cd8e6502414df0ce6f8696d76f4b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.76","145","85","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6253.4634","50","False","500","True","System.Boolean[]","System.Boolean[]","True","False","True","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-07-03 03:31:20","fa236d53b2b5cd8e6502414df0ce6f8696d76f4b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.76","145","85","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138272.04","137895.5","4245.482953513231","131846","155438","137095.2521639503","139448.82783604972","commonmain-plain-linux-exe","17319.1223","50","False","500","True","System.Boolean[]","System.Boolean[]","True","False","True","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-07-03 03:31:20","fa236d53b2b5cd8e6502414df0ce6f8696d76f4b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.76","145","85","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154361.38","153377.5","4860.392828207387","146932","166044","153014.14784260208","155708.61215739793","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2503.3554","50","False","500","True","System.Boolean[]","System.Boolean[]","True","False","True","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-07-03 03:31:20","fa236d53b2b5cd8e6502414df0ce6f8696d76f4b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.76","145","85","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3264.2973","50","False","500","True","System.Boolean[]","System.Boolean[]","True","False","True","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-07-03 03:31:20","fa236d53b2b5cd8e6502414df0ce6f8696d76f4b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.76","145","85","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141654.68","136324","30400.62724610686","131783","348778","133228.0560462057","150081.3039537943","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","36716.0411","50","False","500","True","System.Boolean[]","System.Boolean[]","True","False","True","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-07-03 03:31:20","fa236d53b2b5cd8e6502414df0ce6f8696d76f4b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.76","145","85","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153862.94","153590.5","3701.5532283690018","145119","160894","152836.92179162856","154888.95820837145","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2503.3554","50","False","500","True","System.Boolean[]","System.Boolean[]","True","False","True","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-07-03 03:31:20","fa236d53b2b5cd8e6502414df0ce6f8696d76f4b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.76","145","85","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3264.2973","50","False","500","True","System.Boolean[]","System.Boolean[]","True","False","True","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-07-03 03:31:20","fa236d53b2b5cd8e6502414df0ce6f8696d76f4b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.76","145","85","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136938.94","136462.5","2815.585424390604","132230","143095","136158.49953773414","137719.38046226586","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","36716.0411","50","False","500","True","System.Boolean[]","System.Boolean[]","True","False","True","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-07-03 03:31:20","fa236d53b2b5cd8e6502414df0ce6f8696d76f4b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.76","145","85","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153157.36","152793.5","4460.087524353974","145647","161674","151921.08681180276","154393.63318819721","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2479.6894","50","False","500","True","System.Boolean[]","System.Boolean[]","True","False","True","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","System.String[]","2026-07-03 03:31:20","fa236d53b2b5cd8e6502414df0ce6f8696d76f4b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.76","145","85","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
