"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","InstrumentPropertyAccessors","JVM","Enabled","Reference","Native","TestKIR","JS","Dedicated","CILabel","FlushEarly","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"230201.94","216343.5","37827.81080720524","206601","366844","219716.6057966271","240687.27420337292","commonmain-plain-jar","2978.5531","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","True","2026-07-04 02:08:03","0f84f1a190ea8774a718c0beb214b4ef15314646","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.71","High performance","0.28","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7949.787","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","True","2026-07-04 02:08:03","0f84f1a190ea8774a718c0beb214b4ef15314646","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.71","High performance","0.28","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"241243.52","238196","14028.118097476037","223121","282243","237355.12404586768","245131.9159541323","commonmain-plain-win-exe","102902.5242","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","True","2026-07-04 02:08:03","0f84f1a190ea8774a718c0beb214b4ef15314646","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.71","High performance","0.28","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"200074.82","194212.5","14781.68312568509","187299","259318","195977.5464767951","204172.0935232049","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3860.777","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","True","2026-07-04 02:08:03","0f84f1a190ea8774a718c0beb214b4ef15314646","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.71","High performance","0.28","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4773.9244","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","True","2026-07-04 02:08:03","0f84f1a190ea8774a718c0beb214b4ef15314646","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.71","High performance","0.28","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"254923.54","243822.5","40124.184486955804","214246","337003","243801.68348739986","266045.3965126002","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","31685.1939","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","True","2026-07-04 02:08:03","0f84f1a190ea8774a718c0beb214b4ef15314646","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.71","High performance","0.28","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"219133.8","222194","15504.842427250835","183923","239669","214836.0769451571","223431.52305484287","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3860.777","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","True","2026-07-04 02:08:03","0f84f1a190ea8774a718c0beb214b4ef15314646","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.71","High performance","0.28","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4773.9244","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","True","2026-07-04 02:08:03","0f84f1a190ea8774a718c0beb214b4ef15314646","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.71","High performance","0.28","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"233823.12","221915.5","48165.673609223035","217806","554624","220472.27642363618","247173.9635763638","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","31685.1939","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","True","2026-07-04 02:08:03","0f84f1a190ea8774a718c0beb214b4ef15314646","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.71","High performance","0.28","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"215152.76","219018","18036.25240109259","183895","270788","210153.36589903815","220152.15410096187","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3619.3818","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","True","2026-07-04 02:08:03","0f84f1a190ea8774a718c0beb214b4ef15314646","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.71","High performance","0.28","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
