"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","FlushEarly","InstrumentPropertyAccessors","Dedicated","JS","JVM","CILabel","Native","TestKIR","Methods","Common","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"155345.14","153934","7260.04594917151","143690","191189","153332.75793282504","157357.52206717498","commonmain-plain-jar","1895.4529","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","System.String[]","True","True","2026-07-04 03:23:56","cdafe28e5b5700d5ab13345ca8009db43b8891a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6112.3155","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","System.String[]","True","True","2026-07-04 03:23:56","cdafe28e5b5700d5ab13345ca8009db43b8891a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137714.08","136935.5","4267.049680172617","132606","161651","136531.3141723121","138896.84582768788","commonmain-plain-linux-exe","16407.365","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","System.String[]","True","True","2026-07-04 03:23:56","cdafe28e5b5700d5ab13345ca8009db43b8891a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152918.28","152458.5","4265.353955884504","143224","164588","151735.98420310422","154100.57579689578","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2676.5468","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","System.String[]","True","True","2026-07-04 03:23:56","cdafe28e5b5700d5ab13345ca8009db43b8891a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3883.3974","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","System.String[]","True","True","2026-07-04 03:23:56","cdafe28e5b5700d5ab13345ca8009db43b8891a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137133.8","136690","2219.9819083653333","133310","142957","136518.4524094855","137749.14759051448","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","17774.4996","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","System.String[]","True","True","2026-07-04 03:23:56","cdafe28e5b5700d5ab13345ca8009db43b8891a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153687.68","153547.5","3136.2687140183975","145084","161683","152818.35066488018","154557.0093351198","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2676.5468","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","System.String[]","True","True","2026-07-04 03:23:56","cdafe28e5b5700d5ab13345ca8009db43b8891a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3883.3974","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","System.String[]","True","True","2026-07-04 03:23:56","cdafe28e5b5700d5ab13345ca8009db43b8891a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137255.82","136278","3287.7344205394693","132092","146517","136344.50651302648","138167.13348697353","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","17774.4996","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","System.String[]","True","True","2026-07-04 03:23:56","cdafe28e5b5700d5ab13345ca8009db43b8891a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153267.92","153611.5","4537.891058495731","143057","164863","152010.08077241873","154525.7592275813","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1731.0489","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","System.String[]","True","True","2026-07-04 03:23:56","cdafe28e5b5700d5ab13345ca8009db43b8891a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2663.2206","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","System.String[]","True","True","2026-07-04 03:23:56","cdafe28e5b5700d5ab13345ca8009db43b8891a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136671.04","136596.5","2965.70039193002","131698","149461","135848.98979162428","137493.09020837574","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16390.7682","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","System.String[]","True","True","2026-07-04 03:23:56","cdafe28e5b5700d5ab13345ca8009db43b8891a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155759.84","154161.5","5255.631616481816","147739","174947","154303.05323987038","157216.6267601296","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1731.0489","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","System.String[]","True","True","2026-07-04 03:23:56","cdafe28e5b5700d5ab13345ca8009db43b8891a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
