"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","InstrumentPropertyAccessors","Common","CILabel","JS","Native","Reference","TestKIR","FlushEarly","JVM","Methods","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"203609","192990.5","20856.336685006965","180643","258027","197827.91841653414","209390.08158346586","commonmain-plain-jar","2740.9672","50","False","500","False","System.Boolean[]","True","ci-windows-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-05 02:16:43","147a2c2ad3f780115346bfa6e5baa2da3bfda31a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.7","High performance","0.24","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8092.0235","50","False","500","False","System.Boolean[]","True","ci-windows-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-05 02:16:43","147a2c2ad3f780115346bfa6e5baa2da3bfda31a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.7","High performance","0.24","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222761.9","217171.5","19591.478558083272","214983","333873","217331.4192019785","228192.38079802148","commonmain-plain-win-exe","99826.899","50","False","500","False","System.Boolean[]","True","ci-windows-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-05 02:16:43","147a2c2ad3f780115346bfa6e5baa2da3bfda31a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.7","High performance","0.24","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188226.66","185077","11287.42859241996","179182","238396","185097.94441845524","191355.37558154477","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4239.591","50","False","500","False","System.Boolean[]","True","ci-windows-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-05 02:16:43","147a2c2ad3f780115346bfa6e5baa2da3bfda31a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.7","High performance","0.24","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5237.3339","50","False","500","False","System.Boolean[]","True","ci-windows-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-05 02:16:43","147a2c2ad3f780115346bfa6e5baa2da3bfda31a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.7","High performance","0.24","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"238256.66","234249.5","11057.01193833532","225183","273121","235191.81265646705","241321.50734353295","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25335.4657","50","False","500","False","System.Boolean[]","True","ci-windows-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-05 02:16:43","147a2c2ad3f780115346bfa6e5baa2da3bfda31a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.7","High performance","0.24","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"205814.16","210536.5","13326.912258329927","184893","236686","202120.12838818386","209508.19161181615","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4239.591","50","False","500","False","System.Boolean[]","True","ci-windows-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-05 02:16:43","147a2c2ad3f780115346bfa6e5baa2da3bfda31a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.7","High performance","0.24","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5237.3339","50","False","500","False","System.Boolean[]","True","ci-windows-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-05 02:16:43","147a2c2ad3f780115346bfa6e5baa2da3bfda31a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.7","High performance","0.24","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224183.46","219879","8990.330481791909","215555","250488","221691.46752967697","226675.452470323","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25335.4657","50","False","500","False","System.Boolean[]","True","ci-windows-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-05 02:16:43","147a2c2ad3f780115346bfa6e5baa2da3bfda31a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.7","High performance","0.24","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"201800.06","210423","20175.266763944575","177659","277651","196207.76136711513","207392.35863288486","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3598.6885","50","False","500","False","System.Boolean[]","True","ci-windows-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-05 02:16:43","147a2c2ad3f780115346bfa6e5baa2da3bfda31a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.7","High performance","0.24","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
