"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","Enabled","Reference","JVM","JS","Common","InstrumentPropertyAccessors","TestKIR","Native","CILabel","Dedicated","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"156609.96","154623.5","12999.287550273435","143495","233269","153006.74132406226","160213.17867593773","commonmain-plain-jar","2071.8481","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","System.String[]","2026-07-05 03:40:19","379f64460da86ad9f2677e08a1e1632ab248f992","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.51","145","85","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6546.8159","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","System.String[]","2026-07-05 03:40:19","379f64460da86ad9f2677e08a1e1632ab248f992","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.51","145","85","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136743.16","135953","3802.9146360363643","131723","151699","135689.04584285337","137797.27415714663","commonmain-plain-linux-exe","16733.8229","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","System.String[]","2026-07-05 03:40:19","379f64460da86ad9f2677e08a1e1632ab248f992","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.51","145","85","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154128.32","153300.5","6062.683764317783","142266","180347","152447.82979764004","155808.81020235998","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2875.551","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","System.String[]","2026-07-05 03:40:19","379f64460da86ad9f2677e08a1e1632ab248f992","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.51","145","85","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3932.1726","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","System.String[]","2026-07-05 03:40:19","379f64460da86ad9f2677e08a1e1632ab248f992","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.51","145","85","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137375.72","137254.5","2611.8576158960664","132422","142479","136651.75000517603","138099.68999482397","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","19005.2816","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","System.String[]","2026-07-05 03:40:19","379f64460da86ad9f2677e08a1e1632ab248f992","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.51","145","85","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154013.22","154037","4109.043045105589","143860","162175","152874.25137705842","155152.18862294158","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2875.551","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","System.String[]","2026-07-05 03:40:19","379f64460da86ad9f2677e08a1e1632ab248f992","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.51","145","85","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3932.1726","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","System.String[]","2026-07-05 03:40:19","379f64460da86ad9f2677e08a1e1632ab248f992","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.51","145","85","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136452.2","135820.5","2632.208182945898","130493","143829","135722.58911578296","137181.81088421706","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","19005.2816","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","System.String[]","2026-07-05 03:40:19","379f64460da86ad9f2677e08a1e1632ab248f992","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.51","145","85","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152869.66","152076.5","3937.901749429926","145393","160695","151778.12932397804","153961.19067602197","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1846.2091","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","System.String[]","2026-07-05 03:40:19","379f64460da86ad9f2677e08a1e1632ab248f992","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.51","145","85","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
