"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","JVM","Reference","Dedicated","Common","CILabel","Native","JS","TestKIR","Enabled","FlushEarly","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"191559.32","186094","26195.159873409237","182255","364940","184298.39212914466","198820.24787085535","commonmain-plain-jar","3864.319","50","False","500","System.String[]","True","True","False","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-07-06 02:27:56","968bd94e5fbec120bf702e452af2ed67e686f0e7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.84","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.74","High performance","0.47","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","10415.7046","50","False","500","System.String[]","True","True","False","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-07-06 02:27:56","968bd94e5fbec120bf702e452af2ed67e686f0e7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.84","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.74","High performance","0.47","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223232.92","220622.5","6671.84491769063","218301","252747","221383.57894054498","225082.26105945505","commonmain-plain-win-exe","101200.6012","50","False","500","System.String[]","True","True","False","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-07-06 02:27:56","968bd94e5fbec120bf702e452af2ed67e686f0e7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.84","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.74","High performance","0.47","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186480.86","185813.5","3408.7273764469305","181853","202162","185536.00897670406","187425.7110232959","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3662.6489","50","False","500","System.String[]","True","True","False","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-07-06 02:27:56","968bd94e5fbec120bf702e452af2ed67e686f0e7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.84","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.74","High performance","0.47","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4649.1764","50","False","500","System.String[]","True","True","False","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-07-06 02:27:56","968bd94e5fbec120bf702e452af2ed67e686f0e7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.84","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.74","High performance","0.47","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220776.38","219229.5","4951.966234471612","215409","238967","219403.76498939615","222148.99501060386","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","27425.7587","50","False","500","System.String[]","True","True","False","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-07-06 02:27:56","968bd94e5fbec120bf702e452af2ed67e686f0e7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.84","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.74","High performance","0.47","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186850.98","186524","2808.4848154788924","181407","197548","186072.50772610927","187629.45227389075","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3662.6489","50","False","500","System.String[]","True","True","False","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-07-06 02:27:56","968bd94e5fbec120bf702e452af2ed67e686f0e7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.84","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.74","High performance","0.47","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4649.1764","50","False","500","System.String[]","True","True","False","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-07-06 02:27:56","968bd94e5fbec120bf702e452af2ed67e686f0e7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.84","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.74","High performance","0.47","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220604.92","219651.5","3003.970643352303","217120","233173","219772.26181913933","221437.5781808607","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","27425.7587","50","False","500","System.String[]","True","True","False","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-07-06 02:27:56","968bd94e5fbec120bf702e452af2ed67e686f0e7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.84","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.74","High performance","0.47","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186623.44","186234","2358.901302189091","183071","196142","185969.58591808434","187277.29408191566","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3061.3872","50","False","500","System.String[]","True","True","False","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-07-06 02:27:56","968bd94e5fbec120bf702e452af2ed67e686f0e7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.84","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.74","High performance","0.47","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
