"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","Dedicated","Reference","TestKIR","InstrumentPropertyAccessors","Methods","CILabel","FlushEarly","JS","Common","JVM","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"156641.48","154688","8264.24267241539","144064","197935","154350.74880226585","158932.21119773417","commonmain-plain-jar","1960.2883","50","False","500","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","2026-07-06 03:49:01","35ad3cff6eecdfe6349c328d66bf1a3925f2b6d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.87","145","85","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6076.1508","50","False","500","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","2026-07-06 03:49:01","35ad3cff6eecdfe6349c328d66bf1a3925f2b6d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.87","145","85","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137584.8","137218","3173.5189250021717","132182","146641","136705.14543317957","138464.4545668204","commonmain-plain-linux-exe","17007.5464","50","False","500","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","2026-07-06 03:49:01","35ad3cff6eecdfe6349c328d66bf1a3925f2b6d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.87","145","85","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154976.96","155295","6176.515106069944","142210","178339","153264.91735948354","156689.00264051644","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2258.8155","50","False","500","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","2026-07-06 03:49:01","35ad3cff6eecdfe6349c328d66bf1a3925f2b6d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.87","145","85","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3962.7049","50","False","500","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","2026-07-06 03:49:01","35ad3cff6eecdfe6349c328d66bf1a3925f2b6d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.87","145","85","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137103.48","137088","2595.591397672883","132169","142557","136384.0187708343","137822.94122916574","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","18495.146","50","False","500","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","2026-07-06 03:49:01","35ad3cff6eecdfe6349c328d66bf1a3925f2b6d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.87","145","85","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153739.64","153642.5","4274.4794635232065","144427","162871","152554.81474143764","154924.46525856238","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2258.8155","50","False","500","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","2026-07-06 03:49:01","35ad3cff6eecdfe6349c328d66bf1a3925f2b6d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.87","145","85","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3962.7049","50","False","500","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","2026-07-06 03:49:01","35ad3cff6eecdfe6349c328d66bf1a3925f2b6d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.87","145","85","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138203.12","137970","3136.3180260962577","133135","150070","137333.77699626956","139072.46300373043","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","18495.146","50","False","500","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","2026-07-06 03:49:01","35ad3cff6eecdfe6349c328d66bf1a3925f2b6d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.87","145","85","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154378.36","153575.5","5296.635022505578","140879","167529","152910.2076755815","155846.51232441847","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1862.0132","50","False","500","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","2026-07-06 03:49:01","35ad3cff6eecdfe6349c328d66bf1a3925f2b6d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.87","145","85","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
