"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","TestKIR","FlushEarly","CILabel","Enabled","Common","Reference","Native","JVM","Dedicated","InstrumentPropertyAccessors","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"208398.22","205668","14334.805298664236","183921","257790","204424.81469079966","212371.62530920035","commonmain-plain-jar","2789.9302","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.String[]","2026-07-07 02:15:53","9c4542bfe6eca41277eed542b850e5f632a32468","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.57","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8033.8509","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.String[]","2026-07-07 02:15:53","9c4542bfe6eca41277eed542b850e5f632a32468","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.57","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229003.24","226238.5","7947.111197800374","221861","261645","226800.41316222717","231206.0668377728","commonmain-plain-win-exe","91382.4543","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.String[]","2026-07-07 02:15:53","9c4542bfe6eca41277eed542b850e5f632a32468","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.57","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"196324.88","190408.5","15552.424961702523","182880","284361","192013.9677395086","200635.7922604914","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4123.0199","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.String[]","2026-07-07 02:15:53","9c4542bfe6eca41277eed542b850e5f632a32468","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.57","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","6325.4795","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.String[]","2026-07-07 02:15:53","9c4542bfe6eca41277eed542b850e5f632a32468","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.57","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222583.62","220676","5396.1693211433785","218195","247172","221087.87817559077","224079.36182440922","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","29444.1054","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.String[]","2026-07-07 02:15:53","9c4542bfe6eca41277eed542b850e5f632a32468","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.57","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187960.2","187360","3273.4938770777176","182584","200736","187052.83379028752","188867.5662097125","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4123.0199","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.String[]","2026-07-07 02:15:53","9c4542bfe6eca41277eed542b850e5f632a32468","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.57","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","6325.4795","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.String[]","2026-07-07 02:15:53","9c4542bfe6eca41277eed542b850e5f632a32468","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.57","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221674.94","220760","3544.0254491300757","217971","237258","220692.5862643112","222657.2937356888","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","29444.1054","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.String[]","2026-07-07 02:15:53","9c4542bfe6eca41277eed542b850e5f632a32468","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.57","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187952.52","186994.5","5858.639694589557","182207","215576","186328.5879282234","189576.45207177658","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4773.402","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.String[]","2026-07-07 02:15:53","9c4542bfe6eca41277eed542b850e5f632a32468","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.57","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
