"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","JS","InstrumentPropertyAccessors","Methods","FlushEarly","JVM","Enabled","Dedicated","Native","TestKIR","CILabel","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"153644.44","151656","7246.404795173272","141689","188552","151635.83906780323","155653.04093219677","commonmain-plain-jar","2043.0286","50","False","500","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","True","2026-07-07 03:39:11","91c77fee0a4416a435501f064c50710fca0fd556","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.81","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6073.0149","50","False","500","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","True","2026-07-07 03:39:11","91c77fee0a4416a435501f064c50710fca0fd556","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.81","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136129.3","135410","5492.604617082122","131095","169592","134606.8276753228","137651.77232467718","commonmain-plain-linux-exe","16242.5097","50","False","500","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","True","2026-07-07 03:39:11","91c77fee0a4416a435501f064c50710fca0fd556","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.81","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153343.4","152804","4636.735537959826","145924","165298","152058.16248054765","154628.63751945234","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2638.5222","50","False","500","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","True","2026-07-07 03:39:11","91c77fee0a4416a435501f064c50710fca0fd556","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.81","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4052.0814","50","False","500","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","True","2026-07-07 03:39:11","91c77fee0a4416a435501f064c50710fca0fd556","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.81","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"140791.38","134257","44522.66435262757","128564","448675","128450.32707094768","153132.43292905233","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","36494.487","50","False","500","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","True","2026-07-07 03:39:11","91c77fee0a4416a435501f064c50710fca0fd556","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.81","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152141","151578","4949.697430455848","144261","163658","150769.0138697844","153512.9861302156","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2638.5222","50","False","500","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","True","2026-07-07 03:39:11","91c77fee0a4416a435501f064c50710fca0fd556","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.81","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4052.0814","50","False","500","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","True","2026-07-07 03:39:11","91c77fee0a4416a435501f064c50710fca0fd556","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.81","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134019.16","133396.5","2986.355176328441","128647","146175","133191.38457748436","134846.93542251564","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","36494.487","50","False","500","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","True","2026-07-07 03:39:11","91c77fee0a4416a435501f064c50710fca0fd556","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.81","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152079.54","152382.5","4074.4424494496852","142259","163934","150950.1621728604","153208.9178271396","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2171.3326","50","False","500","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","True","2026-07-07 03:39:11","91c77fee0a4416a435501f064c50710fca0fd556","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.81","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3627.5369","50","False","500","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","True","2026-07-07 03:39:11","91c77fee0a4416a435501f064c50710fca0fd556","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.81","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135323.68","135498","2808.9749269810445","128972","143167","134545.07187413189","136102.2881258681","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15811.0417","50","False","500","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","True","2026-07-07 03:39:11","91c77fee0a4416a435501f064c50710fca0fd556","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.81","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151932.04","151326.5","3747.034930965757","144717","160149","150893.41490686074","152970.66509313928","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2171.3326","50","False","500","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","True","2026-07-07 03:39:11","91c77fee0a4416a435501f064c50710fca0fd556","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.81","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3627.5369","50","False","500","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","True","2026-07-07 03:39:11","91c77fee0a4416a435501f064c50710fca0fd556","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.81","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135336.84","134621.5","4860.699027413859","128291","159502","133989.52296851226","136684.15703148773","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15811.0417","50","False","500","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","True","2026-07-07 03:39:11","91c77fee0a4416a435501f064c50710fca0fd556","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.81","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151610.9","151369","4820.27729005928","142771","162181","150274.7873024718","152947.01269752817","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1875.4476","50","False","500","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","True","2026-07-07 03:39:11","91c77fee0a4416a435501f064c50710fca0fd556","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.81","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3034.0928","50","False","500","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","True","2026-07-07 03:39:11","91c77fee0a4416a435501f064c50710fca0fd556","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.81","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134809.9","134463","2871.2314164725167","129545","141153","134014.0352556621","135605.76474433788","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14525.213","50","False","500","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","True","2026-07-07 03:39:11","91c77fee0a4416a435501f064c50710fca0fd556","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.81","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152327.38","152611","4751.480576512925","142224","165054","151010.33677855926","153644.42322144075","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1875.4476","50","False","500","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","True","2026-07-07 03:39:11","91c77fee0a4416a435501f064c50710fca0fd556","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.81","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3034.0928","50","False","500","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","True","2026-07-07 03:39:11","91c77fee0a4416a435501f064c50710fca0fd556","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.81","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134642.7","134940.5","2770.054204509068","130294","141146","133874.88014799304","135410.51985200698","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14525.213","50","False","500","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","True","2026-07-07 03:39:11","91c77fee0a4416a435501f064c50710fca0fd556","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.81","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
