"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","CILabel","FlushEarly","JVM","Common","Enabled","Reference","Methods","TestKIR","Dedicated","InstrumentPropertyAccessors","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"180123.76","176422","10271.890203335886","170943","215279","177276.53729839408","182970.98270160594","commonmain-plain-jar","2663.9172","50","False","500","True","ci-windows-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-07-08 01:56:54","8affd4de7cb179a2142bdd9df0c708fe32a8ac36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.22","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7023.0249","50","False","500","True","ci-windows-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-07-08 01:56:54","8affd4de7cb179a2142bdd9df0c708fe32a8ac36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.22","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"250987.62","248014","10614.36413908732","236767","291995","248045.46836659306","253929.77163340693","commonmain-plain-win-exe","93361.1261","50","False","500","True","ci-windows-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-07-08 01:56:54","8affd4de7cb179a2142bdd9df0c708fe32a8ac36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.22","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"193641.92","187129.5","13376.600377784287","178179","230834","189934.11554414933","197349.7244558507","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3170.0186","50","False","500","True","ci-windows-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-07-08 01:56:54","8affd4de7cb179a2142bdd9df0c708fe32a8ac36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.22","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5182.2897","50","False","500","True","ci-windows-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-07-08 01:56:54","8affd4de7cb179a2142bdd9df0c708fe32a8ac36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.22","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"248799.34","245333","17305.84881148921","229059","298626","244002.40344487308","253596.2765551269","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24745.1469","50","False","500","True","ci-windows-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-07-08 01:56:54","8affd4de7cb179a2142bdd9df0c708fe32a8ac36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.22","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"196546.92","204588.5","16654.54674677183","172298","243402","191930.51516664558","201163.32483335445","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3170.0186","50","False","500","True","ci-windows-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-07-08 01:56:54","8affd4de7cb179a2142bdd9df0c708fe32a8ac36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.22","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5182.2897","50","False","500","True","ci-windows-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-07-08 01:56:54","8affd4de7cb179a2142bdd9df0c708fe32a8ac36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.22","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"233159.74","228269.5","10994.766804907038","224638","266125","230112.1461271967","236207.33387280328","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24745.1469","50","False","500","True","ci-windows-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-07-08 01:56:54","8affd4de7cb179a2142bdd9df0c708fe32a8ac36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.22","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"207203.94","205385","8703.4744420647","191587","249632","204791.45996723583","209616.42003276417","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3008.1778","50","False","500","True","ci-windows-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","False","System.Boolean[]","True","2026-07-08 01:56:54","8affd4de7cb179a2142bdd9df0c708fe32a8ac36","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.22","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
