"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","Common","Dedicated","CILabel","FlushEarly","Enabled","Reference","TestKIR","JVM","JS","Methods","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"244911.08","272751","46496.53858955305","183016","320934","232022.89704655702","257799.26295344296","commonmain-plain-jar","2823.315","50","False","500","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","2026-07-09 02:10:09","8148057060f3c950d927496ee1787e246b8d3bc3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.33","High performance","0.1","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7915.9105","50","False","500","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","2026-07-09 02:10:09","8148057060f3c950d927496ee1787e246b8d3bc3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.33","High performance","0.1","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221431.58","218877.5","9578.243222437155","215984","279427","218776.62643209973","224086.53356790025","commonmain-plain-win-exe","93656.6774","50","False","500","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","2026-07-09 02:10:09","8148057060f3c950d927496ee1787e246b8d3bc3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.33","High performance","0.1","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"185489.48","184710","3227.826957403195","180668","198376","184594.77201461","186384.18798539002","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3224.2448","50","False","500","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","2026-07-09 02:10:09","8148057060f3c950d927496ee1787e246b8d3bc3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.33","High performance","0.1","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4809.5492","50","False","500","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","2026-07-09 02:10:09","8148057060f3c950d927496ee1787e246b8d3bc3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.33","High performance","0.1","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221029.34","217601","6632.792066417168","214548","240618","219190.82383864134","222867.85616135865","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25703.6157","50","False","500","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","2026-07-09 02:10:09","8148057060f3c950d927496ee1787e246b8d3bc3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.33","High performance","0.1","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186242.72","186037.5","3189.5481929423863","182053","198401","185358.62234678888","187126.81765321112","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3224.2448","50","False","500","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","2026-07-09 02:10:09","8148057060f3c950d927496ee1787e246b8d3bc3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.33","High performance","0.1","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4809.5492","50","False","500","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","2026-07-09 02:10:09","8148057060f3c950d927496ee1787e246b8d3bc3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.33","High performance","0.1","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221054.7","217529.5","15567.554548561859","214049","305374","216739.59403199042","225369.8059680096","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25703.6157","50","False","500","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","2026-07-09 02:10:09","8148057060f3c950d927496ee1787e246b8d3bc3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.33","High performance","0.1","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186286.34","185329","3833.78109096873","181539","205143","185223.67009805256","187349.00990194743","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3791.187","50","False","500","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","2026-07-09 02:10:09","8148057060f3c950d927496ee1787e246b8d3bc3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.33","High performance","0.1","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
