"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","Dedicated","InstrumentPropertyAccessors","Enabled","Methods","Native","JS","JVM","Common","TestKIR","CILabel","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"156932.08","155570","8144.762207826624","143958","189001","154674.46709738398","159189.692902616","commonmain-plain-jar","2020.4154","50","False","500","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","2026-07-09 03:37:42","746a309ed09e9ce4814725f4245bae03e8d5c7d8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","85","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6624.9313","50","False","500","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","2026-07-09 03:37:42","746a309ed09e9ce4814725f4245bae03e8d5c7d8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","85","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139495.94","137265.5","12365.718177993182","133217","222070","136068.33779426292","142923.5422057371","commonmain-plain-linux-exe","16812.0082","50","False","500","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","2026-07-09 03:37:42","746a309ed09e9ce4814725f4245bae03e8d5c7d8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","85","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154788.4","154644","5289.1834754274405","145376","167102","153322.31313905347","156254.48686094652","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2698.0157","50","False","500","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","2026-07-09 03:37:42","746a309ed09e9ce4814725f4245bae03e8d5c7d8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","85","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3624.0575","50","False","500","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","2026-07-09 03:37:42","746a309ed09e9ce4814725f4245bae03e8d5c7d8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","85","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138628.4","137959.5","3493.3535785101676","131110","147665","137660.09179025685","139596.70820974314","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","18865.59","50","False","500","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","2026-07-09 03:37:42","746a309ed09e9ce4814725f4245bae03e8d5c7d8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","85","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155116.86","155160.5","4050.4414373180184","147498","162154","153994.13491400637","156239.5850859936","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2698.0157","50","False","500","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","2026-07-09 03:37:42","746a309ed09e9ce4814725f4245bae03e8d5c7d8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","85","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3624.0575","50","False","500","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","2026-07-09 03:37:42","746a309ed09e9ce4814725f4245bae03e8d5c7d8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","85","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137786.4","137846","2977.864321685483","132407","144299","136960.97812231563","138611.82187768436","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","18865.59","50","False","500","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","2026-07-09 03:37:42","746a309ed09e9ce4814725f4245bae03e8d5c7d8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","85","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156419.64","156587.5","4494.452075569595","146380","165178","155173.84144418154","157665.4385558185","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1766.5083","50","False","500","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","2026-07-09 03:37:42","746a309ed09e9ce4814725f4245bae03e8d5c7d8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","85","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
