"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","Common","CILabel","JVM","Dedicated","JS","Native","Enabled","Reference","InstrumentPropertyAccessors","FlushEarly","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"191379.76","190246","5234.850942501045","185687","209657","189928.73334882225","192830.78665117777","commonmain-plain-jar","2577.545","50","False","500","System.Boolean[]","True","ci-windows-large","True","False","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-10 02:08:26","bfd3cf066106bd0e8a48e49fca5b20d77aa5903c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8009.2481","50","False","500","System.Boolean[]","True","ci-windows-large","True","False","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-10 02:08:26","bfd3cf066106bd0e8a48e49fca5b20d77aa5903c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229766.6","222305.5","13538.507669546425","218746","266133","226013.9171325293","233519.2828674707","commonmain-plain-win-exe","96603.1249","50","False","500","System.Boolean[]","True","ci-windows-large","True","False","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-10 02:08:26","bfd3cf066106bd0e8a48e49fca5b20d77aa5903c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"200459.2","196127.5","12975.953908546942","187824","264760","196862.44907956975","204055.95092043027","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3667.1596","50","False","500","System.Boolean[]","True","ci-windows-large","True","False","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-10 02:08:26","bfd3cf066106bd0e8a48e49fca5b20d77aa5903c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4980.0813","50","False","500","System.Boolean[]","True","ci-windows-large","True","False","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-10 02:08:26","bfd3cf066106bd0e8a48e49fca5b20d77aa5903c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"241238.7","232965.5","19902.665239682276","222386","287635","235721.96265457128","246755.43734542874","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24429.4962","50","False","500","System.Boolean[]","True","ci-windows-large","True","False","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-10 02:08:26","bfd3cf066106bd0e8a48e49fca5b20d77aa5903c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"199864.06","197352","8640.281796732026","189973","235479","197469.0960748659","202259.0239251341","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3667.1596","50","False","500","System.Boolean[]","True","ci-windows-large","True","False","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-10 02:08:26","bfd3cf066106bd0e8a48e49fca5b20d77aa5903c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4980.0813","50","False","500","System.Boolean[]","True","ci-windows-large","True","False","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-10 02:08:26","bfd3cf066106bd0e8a48e49fca5b20d77aa5903c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227720.44","224336.5","7836.192112426618","221293","258607","225548.35836410007","229892.52163589993","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24429.4962","50","False","500","System.Boolean[]","True","ci-windows-large","True","False","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-10 02:08:26","bfd3cf066106bd0e8a48e49fca5b20d77aa5903c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"201886.08","199336.5","11270.855717544888","192545","262860","198761.95818500072","205010.20181499925","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3993.4602","50","False","500","System.Boolean[]","True","ci-windows-large","True","False","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-10 02:08:26","bfd3cf066106bd0e8a48e49fca5b20d77aa5903c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4593.4918","50","False","500","System.Boolean[]","True","ci-windows-large","True","False","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-10 02:08:26","bfd3cf066106bd0e8a48e49fca5b20d77aa5903c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230303.08","224208.5","12919.03259447637","218846","271420","226722.10686286166","233884.0531371383","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","25222.0821","50","False","500","System.Boolean[]","True","ci-windows-large","True","False","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-10 02:08:26","bfd3cf066106bd0e8a48e49fca5b20d77aa5903c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"218849.98","219411","7359.352837258539","193626","234448","216810.07146782297","220889.88853217705","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3993.4602","50","False","500","System.Boolean[]","True","ci-windows-large","True","False","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-10 02:08:26","bfd3cf066106bd0e8a48e49fca5b20d77aa5903c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4593.4918","50","False","500","System.Boolean[]","True","ci-windows-large","True","False","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-10 02:08:26","bfd3cf066106bd0e8a48e49fca5b20d77aa5903c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228322.36","224953.5","10152.552233175016","220516","279210","225508.21609607193","231136.50390392804","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","25222.0821","50","False","500","System.Boolean[]","True","ci-windows-large","True","False","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-10 02:08:26","bfd3cf066106bd0e8a48e49fca5b20d77aa5903c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
