"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","Common","Reference","InstrumentPropertyAccessors","Native","Enabled","TestKIR","JS","JVM","Dedicated","FlushEarly","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"154936.48","153646.5","6108.442592654457","147025","180442","153243.30609753617","156629.65390246385","commonmain-plain-jar","2032.7296","50","False","500","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-linux-large","2026-07-10 03:34:34","8137774c37debf642948ef20cbdb7b5332c11ed6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.02","186","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6189.5982","50","False","500","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-linux-large","2026-07-10 03:34:34","8137774c37debf642948ef20cbdb7b5332c11ed6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.02","186","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137406.32","137835","3193.8312891687733","131054","145782","136521.0351330855","138291.6048669145","commonmain-plain-linux-exe","16899.6637","50","False","500","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-linux-large","2026-07-10 03:34:34","8137774c37debf642948ef20cbdb7b5332c11ed6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.02","186","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153551.8","152392.5","5218.430790799794","144583","168127","152105.32478266372","154998.27521733625","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2500.975","50","False","500","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-linux-large","2026-07-10 03:34:34","8137774c37debf642948ef20cbdb7b5332c11ed6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.02","186","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4147.4759","50","False","500","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-linux-large","2026-07-10 03:34:34","8137774c37debf642948ef20cbdb7b5332c11ed6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.02","186","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137811.4","137324","2628.5100458671427","133437","147515","137082.81418708296","138539.98581291703","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","17493.1772","50","False","500","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-linux-large","2026-07-10 03:34:34","8137774c37debf642948ef20cbdb7b5332c11ed6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.02","186","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154513.54","154723","5019.683546452964","138408","162723","153122.1547081579","155904.9252918421","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2500.975","50","False","500","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-linux-large","2026-07-10 03:34:34","8137774c37debf642948ef20cbdb7b5332c11ed6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.02","186","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4147.4759","50","False","500","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-linux-large","2026-07-10 03:34:34","8137774c37debf642948ef20cbdb7b5332c11ed6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.02","186","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137136.82","137098","2763.344289229326","132235","144024","136370.86004161846","137902.77995838155","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","17493.1772","50","False","500","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-linux-large","2026-07-10 03:34:34","8137774c37debf642948ef20cbdb7b5332c11ed6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.02","186","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155042.68","155487.5","4870.932251381763","143899","165252","153692.5264635443","156392.8335364557","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1894.7992","50","False","500","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-linux-large","2026-07-10 03:34:34","8137774c37debf642948ef20cbdb7b5332c11ed6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.02","186","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
