"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","JS","Common","JVM","Methods","Reference","FlushEarly","TestKIR","CILabel","Enabled","Dedicated","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"192230.14","187868","18043.799120315147","182036","305465","187228.65405519368","197231.62594480635","commonmain-plain-jar","2783.5601","50","False","500","System.Boolean[]","True","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","2026-07-11 01:55:11","c55b3ff13973dfd5b23f0e9e2de2ac4f7b62f3c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7910.1485","50","False","500","System.Boolean[]","True","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","2026-07-11 01:55:11","c55b3ff13973dfd5b23f0e9e2de2ac4f7b62f3c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"240366.48","239260","16893.91216184827","219839","292778","235683.72645863818","245049.23354136184","commonmain-plain-win-exe","116290.3514","50","False","500","System.Boolean[]","True","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","2026-07-11 01:55:11","c55b3ff13973dfd5b23f0e9e2de2ac4f7b62f3c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"193054.66","191121.5","7521.953270560102","187701","238579","190969.6809271705","195139.6390728295","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4425.9138","50","False","500","System.Boolean[]","True","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","2026-07-11 01:55:11","c55b3ff13973dfd5b23f0e9e2de2ac4f7b62f3c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4598.373","50","False","500","System.Boolean[]","True","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","2026-07-11 01:55:11","c55b3ff13973dfd5b23f0e9e2de2ac4f7b62f3c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226915.2","224155","11877.805718813453","220716","304118","223622.84022799938","230207.55977200065","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","27302.2682","50","False","500","System.Boolean[]","True","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","2026-07-11 01:55:11","c55b3ff13973dfd5b23f0e9e2de2ac4f7b62f3c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"193947.76","193139","5785.574180173106","185779","227685","192344.0806555436","195551.43934445642","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4425.9138","50","False","500","System.Boolean[]","True","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","2026-07-11 01:55:11","c55b3ff13973dfd5b23f0e9e2de2ac4f7b62f3c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4598.373","50","False","500","System.Boolean[]","True","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","2026-07-11 01:55:11","c55b3ff13973dfd5b23f0e9e2de2ac4f7b62f3c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225039.02","223170.5","7390.1561842875335","218709","260099","222990.57321564053","227087.46678435945","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","27302.2682","50","False","500","System.Boolean[]","True","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","2026-07-11 01:55:11","c55b3ff13973dfd5b23f0e9e2de2ac4f7b62f3c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"200151.9","195663.5","12800.537090533444","190346","262104","196603.77214081792","203700.02785918207","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3903.2435","50","False","500","System.Boolean[]","True","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","False","True","2026-07-11 01:55:11","c55b3ff13973dfd5b23f0e9e2de2ac4f7b62f3c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
