"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Dedicated","Common","FlushEarly","Methods","Enabled","TestKIR","CILabel","JVM","Native","InstrumentPropertyAccessors","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"153846.16","152101.5","6926.309687867336","144503","179067","151926.28490483548","155766.03509516452","commonmain-plain-jar","2087.5138","50","False","500","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","2026-07-12 02:58:31","662f4cf1823714bac414cfa2a25e06f6a64ac2d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.81","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6025.3242","50","False","500","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","2026-07-12 02:58:31","662f4cf1823714bac414cfa2a25e06f6a64ac2d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.81","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138028.84","136647","5421.546892591767","130831","168520","136526.06387166918","139531.61612833082","commonmain-plain-linux-exe","16594.8629","50","False","500","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","2026-07-12 02:58:31","662f4cf1823714bac414cfa2a25e06f6a64ac2d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.81","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154423.1","154121","3877.213623156692","145507","164369","153348.39121434317","155497.80878565685","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","1983.0226","50","False","500","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","2026-07-12 02:58:31","662f4cf1823714bac414cfa2a25e06f6a64ac2d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.81","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3863.8944","50","False","500","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","2026-07-12 02:58:31","662f4cf1823714bac414cfa2a25e06f6a64ac2d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.81","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137642.24","137302.5","2581.338733198377","132593","143705","136926.72940786864","138357.75059213134","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","18004.041","50","False","500","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","2026-07-12 02:58:31","662f4cf1823714bac414cfa2a25e06f6a64ac2d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.81","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154750.04","154899.5","4822.469170075276","142747","165266","153413.31974432847","156086.76025567154","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","1983.0226","50","False","500","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","2026-07-12 02:58:31","662f4cf1823714bac414cfa2a25e06f6a64ac2d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.81","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3863.8944","50","False","500","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","2026-07-12 02:58:31","662f4cf1823714bac414cfa2a25e06f6a64ac2d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.81","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138681.94","137697.5","4946.1100873642645","132244","165301","137310.948230558","140052.93176944202","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","18004.041","50","False","500","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","2026-07-12 02:58:31","662f4cf1823714bac414cfa2a25e06f6a64ac2d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.81","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155779.28","155222","5245.2489446573045","146020","172406","154325.37116967072","157233.18883032928","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1593.5449","50","False","500","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","2026-07-12 02:58:31","662f4cf1823714bac414cfa2a25e06f6a64ac2d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.81","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
