"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","InstrumentPropertyAccessors","TestKIR","Methods","FlushEarly","JVM","JS","Reference","CILabel","Native","Common","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"133913.36","132125","7185.591404118299","122315","158511","131921.61567979437","135905.1043202056","commonmain-plain-jar","1870.5702","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","ci-linux-large","True","True","False","2026-07-13 03:17:20","b934471b9696f1d27b840b42a8c39dc5e41703d7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.09","145","84","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5453.8714","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","ci-linux-large","True","True","False","2026-07-13 03:17:20","b934471b9696f1d27b840b42a8c39dc5e41703d7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.09","145","84","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"116416.08","116208.5","2109.6256543834156","112900","123478","115831.321602456","117000.83839754401","commonmain-plain-linux-exe","14285.8015","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","ci-linux-large","True","True","False","2026-07-13 03:17:20","b934471b9696f1d27b840b42a8c39dc5e41703d7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.09","145","84","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"132760.46","131384.5","5171.929128142671","124869","150488","131326.87438593624","134194.04561406374","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2110.3113","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","ci-linux-large","True","True","False","2026-07-13 03:17:20","b934471b9696f1d27b840b42a8c39dc5e41703d7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.09","145","84","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3628.6547","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","ci-linux-large","True","True","False","2026-07-13 03:17:20","b934471b9696f1d27b840b42a8c39dc5e41703d7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.09","145","84","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"117848.62","115687","13707.839511649632","112466","211276","114049.0007405511","121648.23925944889","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","13720.2064","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","ci-linux-large","True","True","False","2026-07-13 03:17:20","b934471b9696f1d27b840b42a8c39dc5e41703d7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.09","145","84","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"131683.16","131819.5","3855.7908919505708","124647","140483","130614.38929247805","132751.93070752194","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2110.3113","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","ci-linux-large","True","True","False","2026-07-13 03:17:20","b934471b9696f1d27b840b42a8c39dc5e41703d7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.09","145","84","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3628.6547","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","ci-linux-large","True","True","False","2026-07-13 03:17:20","b934471b9696f1d27b840b42a8c39dc5e41703d7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.09","145","84","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"115826.3","115551","2755.669467531568","110721","127847","115062.46739365748","116590.13260634252","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","13720.2064","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","ci-linux-large","True","True","False","2026-07-13 03:17:20","b934471b9696f1d27b840b42a8c39dc5e41703d7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.09","145","84","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"131654.8","131345","4219.005952175204","122338","139914","130485.35121428939","132824.2487857106","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2176.1902","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","ci-linux-large","True","True","False","2026-07-13 03:17:20","b934471b9696f1d27b840b42a8c39dc5e41703d7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.09","145","84","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
