"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","Native","Enabled","Common","InstrumentPropertyAccessors","Methods","CILabel","JVM","JS","Dedicated","TestKIR","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"213704.68","202671.5","32062.19954034498","185052","337292","204817.4917038242","222591.8682961758","commonmain-plain-jar","2960.4205","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","False","System.Boolean[]","True","2026-07-14 01:47:13","7bad38686f098fa20bc5876da7fab3a07b8e01d6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.1","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8330.5076","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","False","System.Boolean[]","True","2026-07-14 01:47:13","7bad38686f098fa20bc5876da7fab3a07b8e01d6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.1","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"236422.22","236805","10913.365023414442","221864","277167","233397.18954986078","239447.25045013922","commonmain-plain-win-exe","97487.985","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","False","System.Boolean[]","True","2026-07-14 01:47:13","7bad38686f098fa20bc5876da7fab3a07b8e01d6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.1","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"197039.16","190392.5","12379.869651418885","183400","230592","193607.63520595626","200470.68479404374","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3751.4762","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","False","System.Boolean[]","True","2026-07-14 01:47:13","7bad38686f098fa20bc5876da7fab3a07b8e01d6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.1","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4813.5868","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","False","System.Boolean[]","True","2026-07-14 01:47:13","7bad38686f098fa20bc5876da7fab3a07b8e01d6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.1","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221658.2","219511.5","6140.0981910648925","216005","250188","219956.25161332314","223360.14838667688","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","23708.7915","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","False","System.Boolean[]","True","2026-07-14 01:47:13","7bad38686f098fa20bc5876da7fab3a07b8e01d6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.1","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"191142.98","190449","4724.744612426482","185528","216803","189833.34760971004","192452.61239028999","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3751.4762","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","False","System.Boolean[]","True","2026-07-14 01:47:13","7bad38686f098fa20bc5876da7fab3a07b8e01d6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.1","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4813.5868","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","False","System.Boolean[]","True","2026-07-14 01:47:13","7bad38686f098fa20bc5876da7fab3a07b8e01d6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.1","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220810.6","219388","9005.04787236989","215351","281151","218314.52807713882","223306.6719228612","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","23708.7915","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","False","System.Boolean[]","True","2026-07-14 01:47:13","7bad38686f098fa20bc5876da7fab3a07b8e01d6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.1","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"191841.7","190148","8335.530496810945","184491","234827","189531.20882547976","194152.19117452027","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4252.366","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","ci-windows-large","True","True","False","System.Boolean[]","True","2026-07-14 01:47:13","7bad38686f098fa20bc5876da7fab3a07b8e01d6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.4","High performance","0.1","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
