"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","JS","FlushEarly","Methods","Dedicated","Enabled","TestKIR","Common","InstrumentPropertyAccessors","CILabel","Reference","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"154413.98","154170.5","5383.091864347106","146403","174109","152921.86306167627","155906.09693832375","commonmain-plain-jar","2120.3793","50","False","500","True","True","System.Boolean[]","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","True","2026-07-14 02:41:25","94d501992b8e7774d6d80f0f936ba382750b6058","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.01","145","84","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6380.8495","50","False","500","True","True","System.Boolean[]","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","True","2026-07-14 02:41:25","94d501992b8e7774d6d80f0f936ba382750b6058","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.01","145","84","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134181.56","134197.5","3196.8006529488007","128370","140631","133295.45206743773","135067.66793256227","commonmain-plain-linux-exe","18052.355","50","False","500","True","True","System.Boolean[]","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","True","2026-07-14 02:41:25","94d501992b8e7774d6d80f0f936ba382750b6058","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.01","145","84","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154480.48","153858","5890.878172433121","144223","169122","152847.61187807447","156113.34812192555","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2279.2624","50","False","500","True","True","System.Boolean[]","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","True","2026-07-14 02:41:25","94d501992b8e7774d6d80f0f936ba382750b6058","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.01","145","84","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4182.029","50","False","500","True","True","System.Boolean[]","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","True","2026-07-14 02:41:25","94d501992b8e7774d6d80f0f936ba382750b6058","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.01","145","84","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134579.92","133459.5","3806.731823643853","128713","147671","133524.7477724304","135635.09222756964","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","21712.1133","50","False","500","True","True","System.Boolean[]","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","True","2026-07-14 02:41:25","94d501992b8e7774d6d80f0f936ba382750b6058","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.01","145","84","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153782.1","153076","5708.563085400739","143837","166776","152199.7670419409","155364.4329580591","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2279.2624","50","False","500","True","True","System.Boolean[]","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","True","2026-07-14 02:41:25","94d501992b8e7774d6d80f0f936ba382750b6058","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.01","145","84","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4182.029","50","False","500","True","True","System.Boolean[]","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","True","2026-07-14 02:41:25","94d501992b8e7774d6d80f0f936ba382750b6058","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.01","145","84","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134174.98","134136.5","3427.836769445007","128618","146121","133224.83212320576","135125.12787679426","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","21712.1133","50","False","500","True","True","System.Boolean[]","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","True","2026-07-14 02:41:25","94d501992b8e7774d6d80f0f936ba382750b6058","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.01","145","84","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153898.3","153546.5","4913.010952811827","141525","164914","152536.4828425754","155260.11715742457","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1994.307","50","False","500","True","True","System.Boolean[]","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","True","2026-07-14 02:41:25","94d501992b8e7774d6d80f0f936ba382750b6058","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.01","145","84","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
