"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","CILabel","Common","Reference","Methods","JS","InstrumentPropertyAccessors","Enabled","JVM","Native","FlushEarly","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"153742.34","152486","8912.309626692784","142412","198190","151271.9738073571","156212.7061926429","commonmain-plain-jar","1959.0853","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","2026-07-15 02:39:25","b05944cf7875c6598e182925b70c1426cc1c907a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","84","0.07","168","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5908.0464","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","2026-07-15 02:39:25","b05944cf7875c6598e182925b70c1426cc1c907a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","84","0.07","168","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136910.92","136514.5","4082.6473546022585","129784","149397","135779.26788918403","138042.572110816","commonmain-plain-linux-exe","16781.0299","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","2026-07-15 02:39:25","b05944cf7875c6598e182925b70c1426cc1c907a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","84","0.07","168","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151296.66","150762.5","3781.9419350920975","143646","159686","150248.3591789639","152344.9608210361","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2212.8735","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","2026-07-15 02:39:25","b05944cf7875c6598e182925b70c1426cc1c907a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","84","0.07","168","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3695.8457","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","2026-07-15 02:39:25","b05944cf7875c6598e182925b70c1426cc1c907a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","84","0.07","168","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136241.78","135555.5","4756.489149808385","129985","164654","134923.34847287185","137560.21152712815","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","35526.2881","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","2026-07-15 02:39:25","b05944cf7875c6598e182925b70c1426cc1c907a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","84","0.07","168","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"150413.12","150617","5001.922734962088","141219","160635","149026.65775393374","151799.58224606625","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2212.8735","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","2026-07-15 02:39:25","b05944cf7875c6598e182925b70c1426cc1c907a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","84","0.07","168","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3695.8457","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","2026-07-15 02:39:25","b05944cf7875c6598e182925b70c1426cc1c907a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","84","0.07","168","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135802.02","135504.5","3348.7267729081505","131046","152180","134873.80029549","136730.23970451","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","35526.2881","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","2026-07-15 02:39:25","b05944cf7875c6598e182925b70c1426cc1c907a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","84","0.07","168","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151668.8","149821.5","5157.390955646833","142787","163852","150239.2441617565","153098.35583824347","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2544.5371","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","2026-07-15 02:39:25","b05944cf7875c6598e182925b70c1426cc1c907a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","84","0.07","168","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
