"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","Common","InstrumentPropertyAccessors","CILabel","Methods","JS","Dedicated","JVM","Enabled","FlushEarly","TestKIR","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"229817.18","203353.5","59869.11674770734","189469","397585","213222.30749310643","246412.05250689355","commonmain-plain-jar","2612.4444","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.String[]","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-07-16 01:53:29","a7f310f2f96dd0a503b43027329d1b261b748cea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.09","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7643.1246","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.String[]","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-07-16 01:53:29","a7f310f2f96dd0a503b43027329d1b261b748cea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.09","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"234885.7","234588.5","10188.576863330818","220436","263955","232061.57057804498","237709.82942195504","commonmain-plain-win-exe","88554.4771","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.String[]","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-07-16 01:53:29","a7f310f2f96dd0a503b43027329d1b261b748cea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.09","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"203923.64","195348.5","16676.899474177953","183190","236567","199301.03930671583","208546.2406932842","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3548.1712","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.String[]","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-07-16 01:53:29","a7f310f2f96dd0a503b43027329d1b261b748cea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.09","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4434.7242","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.String[]","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-07-16 01:53:29","a7f310f2f96dd0a503b43027329d1b261b748cea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.09","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"219812.3","219190.5","2340.1813138371676","216911","229332","219163.63483412162","220460.96516587836","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","26611.3334","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.String[]","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-07-16 01:53:29","a7f310f2f96dd0a503b43027329d1b261b748cea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.09","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186252.36","185659","4388.98766980659","180325","209180","185035.79468600516","187468.9253139948","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3548.1712","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.String[]","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-07-16 01:53:29","a7f310f2f96dd0a503b43027329d1b261b748cea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.09","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4434.7242","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.String[]","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-07-16 01:53:29","a7f310f2f96dd0a503b43027329d1b261b748cea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.09","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223208.7","219418.5","8282.36889422344","215619","254405","220912.9444699176","225504.45553008243","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","26611.3334","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.String[]","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-07-16 01:53:29","a7f310f2f96dd0a503b43027329d1b261b748cea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.09","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186355.74","185985","3362.722875156685","180854","204144","185423.64077387642","187287.83922612356","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3525.4369","50","False","500","True","True","System.Boolean[]","ci-windows-large","System.String[]","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-07-16 01:53:29","a7f310f2f96dd0a503b43027329d1b261b748cea","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.09","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
