"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","Methods","CILabel","Enabled","InstrumentPropertyAccessors","TestKIR","FlushEarly","JS","JVM","Native","Dedicated","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"155262.2","154605.5","7052.353363181945","145330","179344","153307.38738051956","157217.01261948046","commonmain-plain-jar","2076.1553","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","True","2026-07-16 02:47:02","d8f6aaf59d1bc80e514e3ce4b49e9067c1a32df8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.85","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6282.9767","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","True","2026-07-16 02:47:02","d8f6aaf59d1bc80e514e3ce4b49e9067c1a32df8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.85","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136406.26","135858.5","3770.7449748974386","130534","149261","135361.062817985","137451.45718201503","commonmain-plain-linux-exe","17196.5427","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","True","2026-07-16 02:47:02","d8f6aaf59d1bc80e514e3ce4b49e9067c1a32df8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.85","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153395.1","152797","4679.892939862132","143475","163498","152097.8998590626","154692.3001409374","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2859.8999","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","True","2026-07-16 02:47:02","d8f6aaf59d1bc80e514e3ce4b49e9067c1a32df8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.85","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3349.8031","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","True","2026-07-16 02:47:02","d8f6aaf59d1bc80e514e3ce4b49e9067c1a32df8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.85","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135241.7","134688.5","2677.29989057663","130144","141687","134499.5903321045","135983.80966789552","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","37120.5637","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","True","2026-07-16 02:47:02","d8f6aaf59d1bc80e514e3ce4b49e9067c1a32df8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.85","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152933.06","152104","4705.0078158645965","145321","169656","151628.89837060365","154237.22162939634","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2859.8999","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","True","2026-07-16 02:47:02","d8f6aaf59d1bc80e514e3ce4b49e9067c1a32df8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.85","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3349.8031","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","True","2026-07-16 02:47:02","d8f6aaf59d1bc80e514e3ce4b49e9067c1a32df8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.85","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135040.66","135079","2661.8190849914067","129051","143731","134302.84139248665","135778.47860751336","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","37120.5637","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","True","2026-07-16 02:47:02","d8f6aaf59d1bc80e514e3ce4b49e9067c1a32df8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.85","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152464.94","151478.5","4639.219979342938","145749","167527","151179.01382853067","153750.86617146933","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2297.0229","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","False","True","2026-07-16 02:47:02","d8f6aaf59d1bc80e514e3ce4b49e9067c1a32df8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.85","145","84","0.05","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
