"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","InstrumentPropertyAccessors","Common","JS","TestKIR","CILabel","Native","Enabled","JVM","FlushEarly","Dedicated","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"194633.76","190068","25152.791081025465","182483","364878","187661.76201744867","201605.75798255135","commonmain-plain-jar","2991.9845","50","False","500","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","2026-07-17 01:57:24","96bbd4b5280d4cff31cf6e0c5e2a5c562505e2ba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.07","143","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8903.0449","50","False","500","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","2026-07-17 01:57:24","96bbd4b5280d4cff31cf6e0c5e2a5c562505e2ba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.07","143","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225671.9","224673","4157.462806784436","220983","242853","224519.5101038624","226824.28989613758","commonmain-plain-win-exe","96909.4899","50","False","500","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","2026-07-17 01:57:24","96bbd4b5280d4cff31cf6e0c5e2a5c562505e2ba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.07","143","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"192338.52","190943.5","6033.965766139113","183666","211662","190665.99002061167","194011.0499793883","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4594.2718","50","False","500","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","2026-07-17 01:57:24","96bbd4b5280d4cff31cf6e0c5e2a5c562505e2ba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.07","143","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5423.3109","50","False","500","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","2026-07-17 01:57:24","96bbd4b5280d4cff31cf6e0c5e2a5c562505e2ba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.07","143","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225401.42","224571.5","4270.56218203321","218862","237694","224217.68055646936","226585.15944353066","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","31011.666","50","False","500","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","2026-07-17 01:57:24","96bbd4b5280d4cff31cf6e0c5e2a5c562505e2ba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.07","143","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"190158.22","189889.5","3642.267701835867","184926","201015","189148.63490118098","191167.80509881902","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4594.2718","50","False","500","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","2026-07-17 01:57:24","96bbd4b5280d4cff31cf6e0c5e2a5c562505e2ba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.07","143","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5423.3109","50","False","500","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","2026-07-17 01:57:24","96bbd4b5280d4cff31cf6e0c5e2a5c562505e2ba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.07","143","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223716.58","222911","4698.506506479327","216382","235606","222414.22044162516","225018.9395583748","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","31011.666","50","False","500","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","2026-07-17 01:57:24","96bbd4b5280d4cff31cf6e0c5e2a5c562505e2ba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.07","143","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188708.04","187137","5091.7783668520815","182471","209777","187296.67104349198","190119.40895650804","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4095.4544","50","False","500","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","2026-07-17 01:57:24","96bbd4b5280d4cff31cf6e0c5e2a5c562505e2ba","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.07","143","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
