"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","Native","JVM","TestKIR","CILabel","Methods","Reference","Dedicated","Common","InstrumentPropertyAccessors","JS","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"171114.08","169142","8134.12131360787","159878","207363","168859.4166027803","173368.7433972197","commonmain-plain-jar","2341.9664","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","System.Boolean[]","True","System.Boolean[]","2026-07-17 02:49:27","2784785c0695daa1b95dccce9a252e020ce6e4d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.58","145","84","0.06","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8082.4051","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","System.Boolean[]","True","System.Boolean[]","2026-07-17 02:49:27","2784785c0695daa1b95dccce9a252e020ce6e4d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.58","145","84","0.06","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142395.08","141612","4613.476730676096","135208","160724","141116.28949300587","143673.8705069941","commonmain-plain-linux-exe","20190.7024","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","System.Boolean[]","True","System.Boolean[]","2026-07-17 02:49:27","2784785c0695daa1b95dccce9a252e020ce6e4d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.58","145","84","0.06","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"170326.5","169588.5","5744.340889527887","160765","182613","168734.24994059853","171918.75005940147","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3263.438","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","System.Boolean[]","True","System.Boolean[]","2026-07-17 02:49:27","2784785c0695daa1b95dccce9a252e020ce6e4d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.58","145","84","0.06","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4872.0605","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","System.Boolean[]","True","System.Boolean[]","2026-07-17 02:49:27","2784785c0695daa1b95dccce9a252e020ce6e4d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.58","145","84","0.06","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142036.44","141312.5","4397.538022529406","134573","161852","140817.50464914757","143255.37535085244","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","21569.9217","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","System.Boolean[]","True","System.Boolean[]","2026-07-17 02:49:27","2784785c0695daa1b95dccce9a252e020ce6e4d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.58","145","84","0.06","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"170264.48","170910.5","5545.381502637661","160039","182842","168727.37866900564","171801.58133099438","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3263.438","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","System.Boolean[]","True","System.Boolean[]","2026-07-17 02:49:27","2784785c0695daa1b95dccce9a252e020ce6e4d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.58","145","84","0.06","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4872.0605","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","System.Boolean[]","True","System.Boolean[]","2026-07-17 02:49:27","2784785c0695daa1b95dccce9a252e020ce6e4d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.58","145","84","0.06","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143441.84","143503.5","3652.483032186209","138454","157238","142429.42335607074","144454.25664392926","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","21569.9217","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","System.Boolean[]","True","System.Boolean[]","2026-07-17 02:49:27","2784785c0695daa1b95dccce9a252e020ce6e4d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.58","145","84","0.06","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"171005.28","169899.5","4871.432756764016","162379","182222","169654.98773053038","172355.57226946962","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2644.1551","50","False","500","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","System.Boolean[]","True","System.Boolean[]","2026-07-17 02:49:27","2784785c0695daa1b95dccce9a252e020ce6e4d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.58","145","84","0.06","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
