"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","Common","TestKIR","JS","Dedicated","Enabled","Methods","CILabel","InstrumentPropertyAccessors","Reference","FlushEarly","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"144623.24","142900.5","7399.0267356661225","135803","174748","142572.33442424372","146674.14557575627","commonmain-plain-jar","1853.8911","50","False","500","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","2026-07-18 02:41:21","0bde8db5ca6219e68e92995a6029417a737d294b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.73","145","84","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5878.0547","50","False","500","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","2026-07-18 02:41:21","0bde8db5ca6219e68e92995a6029417a737d294b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.73","145","84","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145157.16","144649","3099.7162566655575","138844","156822","144297.9624891418","146016.35751085822","commonmain-plain-linux-exe","16266.4583","50","False","500","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","2026-07-18 02:41:21","0bde8db5ca6219e68e92995a6029417a737d294b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.73","145","84","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142094.02","141387.5","4563.748121660439","134837","152292","140829.01356017424","143359.02643982574","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2321.098","50","False","500","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","2026-07-18 02:41:21","0bde8db5ca6219e68e92995a6029417a737d294b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.73","145","84","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3808.5863","50","False","500","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","2026-07-18 02:41:21","0bde8db5ca6219e68e92995a6029417a737d294b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.73","145","84","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145774.72","143895.5","8493.02398980649","139397","194565","143420.5738564589","148128.8661435411","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","14925.6515","50","False","500","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","2026-07-18 02:41:21","0bde8db5ca6219e68e92995a6029417a737d294b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.73","145","84","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142351.96","141898","4775.730874549198","130814","153316","141028.19493888583","143675.72506111415","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2321.098","50","False","500","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","2026-07-18 02:41:21","0bde8db5ca6219e68e92995a6029417a737d294b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.73","145","84","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3808.5863","50","False","500","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","2026-07-18 02:41:21","0bde8db5ca6219e68e92995a6029417a737d294b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.73","145","84","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144487.22","144114","3002.7781170109797","138214","153764","143654.89237057668","145319.54762942332","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","14925.6515","50","False","500","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","2026-07-18 02:41:21","0bde8db5ca6219e68e92995a6029417a737d294b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.73","145","84","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141298","140411","4563.980070249283","134151","151979","140032.9292673056","142563.0707326944","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1464.3307","50","False","500","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","2026-07-18 02:41:21","0bde8db5ca6219e68e92995a6029417a737d294b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.73","145","84","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
