"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","Enabled","Reference","JVM","Common","CILabel","Dedicated","FlushEarly","JS","InstrumentPropertyAccessors","TestKIR","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"221309.56","194953","55322.8376392201","185698","428735","205974.85176952343","236644.26823047656","commonmain-plain-jar","2813.2793","50","False","500","True","System.Boolean[]","True","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-19 01:55:58","14681a288d4d958318574d4cd1744d3027ae596f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8379.0902","50","False","500","True","System.Boolean[]","True","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-19 01:55:58","14681a288d4d958318574d4cd1744d3027ae596f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231382.82","228551.5","8950.94593721917","224194","277737","228901.7443684652","233863.8956315348","commonmain-plain-win-exe","94790.0934","50","False","500","True","System.Boolean[]","True","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-19 01:55:58","14681a288d4d958318574d4cd1744d3027ae596f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"195042.04","193650.5","6986.476981327015","184400","216203","193105.4873819608","196978.59261803923","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3381.5771","50","False","500","True","System.Boolean[]","True","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-19 01:55:58","14681a288d4d958318574d4cd1744d3027ae596f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5791.1319","50","False","500","True","System.Boolean[]","True","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-19 01:55:58","14681a288d4d958318574d4cd1744d3027ae596f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225023.74","223184.5","5217.376406171349","219280","240828","223577.55704317187","226469.92295682812","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","29029.128","50","False","500","True","System.Boolean[]","True","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-19 01:55:58","14681a288d4d958318574d4cd1744d3027ae596f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"193549.32","192588","5006.827943795904","185991","214412","192161.49809941338","194937.14190058663","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3381.5771","50","False","500","True","System.Boolean[]","True","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-19 01:55:58","14681a288d4d958318574d4cd1744d3027ae596f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5791.1319","50","False","500","True","System.Boolean[]","True","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-19 01:55:58","14681a288d4d958318574d4cd1744d3027ae596f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225383.96","223427.5","5346.608133104538","219350","243052","223901.95583603196","226865.96416396802","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","29029.128","50","False","500","True","System.Boolean[]","True","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-19 01:55:58","14681a288d4d958318574d4cd1744d3027ae596f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"193215.58","192522","3998.693521792398","187396","203864","192107.1987043827","194323.96129561728","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","6037.5219","50","False","500","True","System.Boolean[]","True","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-19 01:55:58","14681a288d4d958318574d4cd1744d3027ae596f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.08","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
