"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","Dedicated","Methods","Common","CILabel","JVM","Enabled","Reference","TestKIR","FlushEarly","Native","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"206525.02","206479.5","14169.52721042374","187515","240056","202597.4274395344","210452.61256046558","commonmain-plain-jar","3471.7076","50","False","500","System.Boolean[]","False","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-20 02:13:27","449ea95f984fed76fc5141072519f492b1372a6e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.96","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.32","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","10515.6251","50","False","500","System.Boolean[]","False","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-20 02:13:27","449ea95f984fed76fc5141072519f492b1372a6e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.96","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.32","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"252722.42","248031.5","22417.415128066878","230834","368759","246508.62954853787","258936.21045146216","commonmain-plain-win-exe","96360.4039","50","False","500","System.Boolean[]","False","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-20 02:13:27","449ea95f984fed76fc5141072519f492b1372a6e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.96","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.32","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"202342.84","192054.5","17936.61917881166","182735","246701","197371.0628192638","207314.61718073618","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3524.9907","50","False","500","System.Boolean[]","False","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-20 02:13:27","449ea95f984fed76fc5141072519f492b1372a6e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.96","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.32","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5102.3612","50","False","500","System.Boolean[]","False","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-20 02:13:27","449ea95f984fed76fc5141072519f492b1372a6e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.96","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.32","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"263671.7","251837","34843.65416838657","222759","340822","254013.53181563626","273329.86818436376","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","23684.8532","50","False","500","System.Boolean[]","False","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-20 02:13:27","449ea95f984fed76fc5141072519f492b1372a6e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.96","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.32","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"232375.92","233478","21186.500200084094","191667","271723","226503.3217592529","238248.51824074713","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3524.9907","50","False","500","System.Boolean[]","False","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-20 02:13:27","449ea95f984fed76fc5141072519f492b1372a6e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.96","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.32","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5102.3612","50","False","500","System.Boolean[]","False","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-20 02:13:27","449ea95f984fed76fc5141072519f492b1372a6e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.96","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.32","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"281513.86","281933.5","8766.162018296285","255413","296500","279084.003857618","283943.71614238195","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","23684.8532","50","False","500","System.Boolean[]","False","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-20 02:13:27","449ea95f984fed76fc5141072519f492b1372a6e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.96","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.32","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231501.2","228924","23404.480158939747","190999","275815","225013.80908083136","237988.59091916867","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2890.6891","50","False","500","System.Boolean[]","False","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-20 02:13:27","449ea95f984fed76fc5141072519f492b1372a6e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.96","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.66","High performance","0.32","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
