"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","FlushEarly","Dedicated","Native","InstrumentPropertyAccessors","JVM","Reference","Enabled","TestKIR","Common","JS","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"143044.36","142477.5","5557.411189849211","134820","164132","141503.92420983172","144584.79579016825","commonmain-plain-jar","1864.2804","50","False","500","ci-linux-large","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-07-20 03:38:32","fc930127d061c681d1fab3fc1886a663c3016dcd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","84","0.03","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6181.3246","50","False","500","ci-linux-large","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-07-20 03:38:32","fc930127d061c681d1fab3fc1886a663c3016dcd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","84","0.03","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144593.12","144322","3038.5256940610834","139746","155322","143750.88364775258","145435.3563522474","commonmain-plain-linux-exe","17093.4378","50","False","500","ci-linux-large","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-07-20 03:38:32","fc930127d061c681d1fab3fc1886a663c3016dcd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","84","0.03","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143567.16","143356.5","4315.905478150156","134681","155898","142370.85203602043","144763.46796397958","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2116.704","50","False","500","ci-linux-large","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-07-20 03:38:32","fc930127d061c681d1fab3fc1886a663c3016dcd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","84","0.03","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3772.1018","50","False","500","ci-linux-large","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-07-20 03:38:32","fc930127d061c681d1fab3fc1886a663c3016dcd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","84","0.03","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145405.76","143777.5","8249.245582228617","139585","196959","143119.18578358015","147692.33421641987","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","16437.9581","50","False","500","ci-linux-large","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-07-20 03:38:32","fc930127d061c681d1fab3fc1886a663c3016dcd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","84","0.03","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143323.74","142737.5","5016.573779188423","133787","157122","141933.216691666","144714.263308334","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2116.704","50","False","500","ci-linux-large","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-07-20 03:38:32","fc930127d061c681d1fab3fc1886a663c3016dcd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","84","0.03","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3772.1018","50","False","500","ci-linux-large","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-07-20 03:38:32","fc930127d061c681d1fab3fc1886a663c3016dcd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","84","0.03","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145256.16","144952","4583.572612301991","140070","171058","143985.6584917219","146526.6615082781","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","16437.9581","50","False","500","ci-linux-large","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-07-20 03:38:32","fc930127d061c681d1fab3fc1886a663c3016dcd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","84","0.03","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142494.74","141567.5","4962.046890062978","132786","156836","141119.33077422457","143870.1492257754","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1614.8849","50","False","500","ci-linux-large","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-07-20 03:38:32","fc930127d061c681d1fab3fc1886a663c3016dcd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","84","0.03","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
