"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","CILabel","Enabled","Common","Dedicated","TestKIR","FlushEarly","InstrumentPropertyAccessors","JVM","Methods","Native","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"194521.86","192238","7033.575338419609","186920","212129","192572.25238342906","196471.4676165709","commonmain-plain-jar","2656.33","50","False","500","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","True","2026-07-21 01:55:26","9ff72e662bd2327d54cc9c14766a147797086eb6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.07","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8225.1976","50","False","500","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","True","2026-07-21 01:55:26","9ff72e662bd2327d54cc9c14766a147797086eb6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.07","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"235921.56","224043.5","27994.77258577001","219659","328675","228161.8049349961","243681.3150650039","commonmain-plain-win-exe","87318.6609","50","False","500","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","True","2026-07-21 01:55:26","9ff72e662bd2327d54cc9c14766a147797086eb6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.07","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"191893.88","190643","7299.04111857251","181749","212246","189870.68902332798","193917.07097667202","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3398.5789","50","False","500","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","True","2026-07-21 01:55:26","9ff72e662bd2327d54cc9c14766a147797086eb6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.07","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5290.6272","50","False","500","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","True","2026-07-21 01:55:26","9ff72e662bd2327d54cc9c14766a147797086eb6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.07","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"234099.56","221139","24011.148154138733","215921","295914","227444.0092919244","240755.1107080756","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","22396.2849","50","False","500","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","True","2026-07-21 01:55:26","9ff72e662bd2327d54cc9c14766a147797086eb6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.07","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187494.44","186691.5","3370.374448766481","183157","202966","186560.21986587864","188428.66013412137","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3398.5789","50","False","500","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","True","2026-07-21 01:55:26","9ff72e662bd2327d54cc9c14766a147797086eb6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.07","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5290.6272","50","False","500","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","True","2026-07-21 01:55:26","9ff72e662bd2327d54cc9c14766a147797086eb6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.07","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"219770.02","218311","4708.205765491148","214355","234469","218464.97194419184","221075.06805580814","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","22396.2849","50","False","500","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","True","2026-07-21 01:55:26","9ff72e662bd2327d54cc9c14766a147797086eb6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.07","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"185863.92","185467","3297.5285540686314","180528","200362","184949.89171771865","186777.94828228137","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4509.0795","50","False","500","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","True","2026-07-21 01:55:26","9ff72e662bd2327d54cc9c14766a147797086eb6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.07","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","6752.2006","50","False","500","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","True","2026-07-21 01:55:26","9ff72e662bd2327d54cc9c14766a147797086eb6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.07","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"218781.98","218231","2785.6892562245516","214280","229973","218009.8263327649","219554.13366723512","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","47947.4372","50","False","500","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","True","2026-07-21 01:55:26","9ff72e662bd2327d54cc9c14766a147797086eb6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.07","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"185996.66","185451.5","3518.436251738976","181413","202825","185021.39922795133","186971.92077204867","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4509.0795","50","False","500","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","True","2026-07-21 01:55:26","9ff72e662bd2327d54cc9c14766a147797086eb6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.07","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","6752.2006","50","False","500","True","ci-windows-large","System.Boolean[]","True","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","True","2026-07-21 01:55:26","9ff72e662bd2327d54cc9c14766a147797086eb6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.07","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
