"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","Methods","Enabled","TestKIR","InstrumentPropertyAccessors","Native","FlushEarly","JS","Common","CILabel","Reference","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"175280.94","157591","36593.82222503059","150792","298932","165137.6499808172","185424.2300191828","commonmain-plain-jar","2242.0174","50","False","500","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","True","False","2026-07-21 02:52:31","ec61cc3c8e0ba73ba83b6626c24294c99859e62a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6987.4095","50","False","500","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","True","False","2026-07-21 02:52:31","ec61cc3c8e0ba73ba83b6626c24294c99859e62a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137817.2","137389","2484.5634363782615","133455","147041","137128.51415157274","138505.88584842728","commonmain-plain-linux-exe","17463.5369","50","False","500","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","True","False","2026-07-21 02:52:31","ec61cc3c8e0ba73ba83b6626c24294c99859e62a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"158695.16","158605","6300.559966562091","146841","171742","156948.73387836962","160441.5861216304","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2638.1812","50","False","500","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","True","False","2026-07-21 02:52:31","ec61cc3c8e0ba73ba83b6626c24294c99859e62a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3788.1538","50","False","500","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","True","False","2026-07-21 02:52:31","ec61cc3c8e0ba73ba83b6626c24294c99859e62a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138647.54","138149","2571.5325709921444","134572","149790","137934.7475373557","139360.33246264432","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","38129.1514","50","False","500","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","True","False","2026-07-21 02:52:31","ec61cc3c8e0ba73ba83b6626c24294c99859e62a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"158357.16","157472","5173.812640517984","150023","170474","156923.05230294203","159791.26769705798","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2638.1812","50","False","500","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","True","False","2026-07-21 02:52:31","ec61cc3c8e0ba73ba83b6626c24294c99859e62a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3788.1538","50","False","500","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","True","False","2026-07-21 02:52:31","ec61cc3c8e0ba73ba83b6626c24294c99859e62a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138604.44","138053.5","2393.694268579129","134732","145420","137940.94179983533","139267.93820016467","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","38129.1514","50","False","500","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","True","False","2026-07-21 02:52:31","ec61cc3c8e0ba73ba83b6626c24294c99859e62a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"160484.5","159768","5657.262297620788","150898","173730","158916.38689482934","162052.61310517066","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2167.606","50","False","500","True","System.String[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","True","False","2026-07-21 02:52:31","ec61cc3c8e0ba73ba83b6626c24294c99859e62a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
