"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","Dedicated","Methods","Common","Enabled","TestKIR","JVM","Native","FlushEarly","InstrumentPropertyAccessors","JS","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"144011.16","142144.5","7695.751821383439","135727","175878","141878.00642670225","146144.31357329775","commonmain-plain-jar","1935.8766","50","False","500","ci-linux-large","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-22 02:50:19","c28e328d99081029a49a33a2a14814184ca0053f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.06","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5807.5864","50","False","500","ci-linux-large","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-22 02:50:19","c28e328d99081029a49a33a2a14814184ca0053f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.06","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144888.54","144452.5","3587.5567560610357","140005","161899","143894.12000163988","145882.95999836014","commonmain-plain-linux-exe","17098.3074","50","False","500","ci-linux-large","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-22 02:50:19","c28e328d99081029a49a33a2a14814184ca0053f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.06","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143048.12","142402.5","5186.353430270007","133791","157316","141610.53617337177","144485.70382662822","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2198.262","50","False","500","ci-linux-large","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-22 02:50:19","c28e328d99081029a49a33a2a14814184ca0053f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.06","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3959.5238","50","False","500","ci-linux-large","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-22 02:50:19","c28e328d99081029a49a33a2a14814184ca0053f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.06","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144730.84","144490.5","3645.181725320733","138731","160540","143720.44717508042","145741.23282491957","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","17515.0839","50","False","500","ci-linux-large","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-22 02:50:19","c28e328d99081029a49a33a2a14814184ca0053f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.06","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142030.6","142094","3777.8349214699087","134956","150761","140983.43758505952","143077.7624149405","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2198.262","50","False","500","ci-linux-large","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-22 02:50:19","c28e328d99081029a49a33a2a14814184ca0053f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.06","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3959.5238","50","False","500","ci-linux-large","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-22 02:50:19","c28e328d99081029a49a33a2a14814184ca0053f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.06","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144452.86","144010","4063.3761523528933","139305","159833","143326.54959391855","145579.17040608142","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","17515.0839","50","False","500","ci-linux-large","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-22 02:50:19","c28e328d99081029a49a33a2a14814184ca0053f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.06","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142180.1","141449","7470.323128409982","133232","188201","140109.43207243268","144250.76792756733","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2416.0068","50","False","500","ci-linux-large","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-22 02:50:19","c28e328d99081029a49a33a2a14814184ca0053f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.06","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4545.8629","50","False","500","ci-linux-large","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-22 02:50:19","c28e328d99081029a49a33a2a14814184ca0053f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.06","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145538.9","144602.5","5268.062662334771","139947","176249","144078.667529757","146999.132470243","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","19965.6891","50","False","500","ci-linux-large","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-22 02:50:19","c28e328d99081029a49a33a2a14814184ca0053f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.06","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142770.9","141938.5","5147.83934960948","134295","155838","141343.99173187342","144197.80826812657","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2416.0068","50","False","500","ci-linux-large","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-22 02:50:19","c28e328d99081029a49a33a2a14814184ca0053f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.06","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4545.8629","50","False","500","ci-linux-large","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-22 02:50:19","c28e328d99081029a49a33a2a14814184ca0053f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.06","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145579.08","143914","6393.397362138856","138822","175312","143806.92066520127","147351.2393347987","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","19965.6891","50","False","500","ci-linux-large","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-22 02:50:19","c28e328d99081029a49a33a2a14814184ca0053f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.06","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143230.02","141638","5294.343567990121","135817","158722","141762.50283436797","144697.537165632","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2594.5285","50","False","500","ci-linux-large","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-22 02:50:19","c28e328d99081029a49a33a2a14814184ca0053f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.06","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4039.2414","50","False","500","ci-linux-large","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","2026-07-22 02:50:19","c28e328d99081029a49a33a2a14814184ca0053f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.06","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
