"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","Common","Reference","InstrumentPropertyAccessors","FlushEarly","JVM","CILabel","Enabled","TestKIR","Dedicated","Native","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"186870.34","184945.5","5638.12572928129","181319","205849","185307.531280948","188433.148719052","commonmain-plain-jar","2699.7322","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","2026-07-23 02:02:18","55e42321e82098f9335b68d66abad333bfbbbc83","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.09","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7979.5731","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","2026-07-23 02:02:18","55e42321e82098f9335b68d66abad333bfbbbc83","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.09","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229809.6","219720","27837.534715941078","216362","351248","222093.42904889013","237525.77095110988","commonmain-plain-win-exe","92129.3602","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","2026-07-23 02:02:18","55e42321e82098f9335b68d66abad333bfbbbc83","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.09","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"185655.86","184895.5","3338.317338640739","180477","200132","184730.52564346103","186581.19435653894","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4104.3036","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","2026-07-23 02:02:18","55e42321e82098f9335b68d66abad333bfbbbc83","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.09","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5398.4038","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","2026-07-23 02:02:18","55e42321e82098f9335b68d66abad333bfbbbc83","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.09","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224811.22","218475.5","15230.25451204387","215859","271079","220589.60883209202","229032.83116790798","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24932.1494","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","2026-07-23 02:02:18","55e42321e82098f9335b68d66abad333bfbbbc83","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.09","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"212349.5","209926.5","19423.8739281728","185152","295458","206965.47683516276","217733.52316483724","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4104.3036","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","2026-07-23 02:02:18","55e42321e82098f9335b68d66abad333bfbbbc83","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.09","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5398.4038","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","2026-07-23 02:02:18","55e42321e82098f9335b68d66abad333bfbbbc83","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.09","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225585.64","220677.5","18134.865680658077","217908","339642","220558.9116925094","230612.36830749063","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24932.1494","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","2026-07-23 02:02:18","55e42321e82098f9335b68d66abad333bfbbbc83","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.09","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187585.32","186648.5","4408.384476361898","181346","201981","186363.3781655333","188807.2618344667","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4310.7438","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","2026-07-23 02:02:18","55e42321e82098f9335b68d66abad333bfbbbc83","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.38","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.19","High performance","0.09","140","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
