"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","Dedicated","FlushEarly","Native","JS","Common","InstrumentPropertyAccessors","CILabel","Enabled","JVM","Reference","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"145293.38","144544.5","6240.4666848313345","134324","166769","143563.6108862397","147023.1491137603","commonmain-plain-jar","1967.6987","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","System.String[]","2026-07-23 02:56:09","58851ebe16ebce91630e1227a83424e3e6436f96","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","84","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6395.1991","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","System.String[]","2026-07-23 02:56:09","58851ebe16ebce91630e1227a83424e3e6436f96","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","84","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145096.16","144841","3030.6860364327704","139807","153578","144256.09668998048","145936.22331001953","commonmain-plain-linux-exe","16738.3832","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","System.String[]","2026-07-23 02:56:09","58851ebe16ebce91630e1227a83424e3e6436f96","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","84","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143491.62","142703.5","5327.147262343502","135576","167687","142015.01011419567","144968.22988580432","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2486.1961","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","System.String[]","2026-07-23 02:56:09","58851ebe16ebce91630e1227a83424e3e6436f96","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","84","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4085.3059","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","System.String[]","2026-07-23 02:56:09","58851ebe16ebce91630e1227a83424e3e6436f96","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","84","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145563.74","144983.5","3772.8144521304093","139993","160607","144517.96918816207","146609.5108118379","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","19936.4164","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","System.String[]","2026-07-23 02:56:09","58851ebe16ebce91630e1227a83424e3e6436f96","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","84","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144029.4","143359.5","4683.323728171815","134095","153904","142731.24889306058","145327.5511069394","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2486.1961","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","System.String[]","2026-07-23 02:56:09","58851ebe16ebce91630e1227a83424e3e6436f96","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","84","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4085.3059","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","System.String[]","2026-07-23 02:56:09","58851ebe16ebce91630e1227a83424e3e6436f96","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","84","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145210.24","144460","5064.714177160102","140059","175080","143806.3728541389","146614.10714586108","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","19936.4164","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","System.String[]","2026-07-23 02:56:09","58851ebe16ebce91630e1227a83424e3e6436f96","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","84","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142280.9","141624","4579.705303102516","133721","152966","141011.47045514136","143550.32954485863","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2649.8421","50","False","500","System.Boolean[]","False","System.Boolean[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","System.String[]","2026-07-23 02:56:09","58851ebe16ebce91630e1227a83424e3e6436f96","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","84","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
