"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","Common","Methods","JS","Enabled","Reference","InstrumentPropertyAccessors","Dedicated","JVM","Native","CILabel","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"146200.64","143300.5","13493.683746532246","132432","230767","142460.38169009902","149940.898309901","commonmain-plain-jar","1909.4829","50","False","500","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","2026-07-24 02:50:48","6715e08743f2792a96c26624dfcc8cb7304486c3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.86","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5727.7016","50","False","500","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","2026-07-24 02:50:48","6715e08743f2792a96c26624dfcc8cb7304486c3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.86","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145334.56","144785","3611.6603743419505","140559","156409","144333.45881952034","146335.66118047966","commonmain-plain-linux-exe","15772.8579","50","False","500","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","2026-07-24 02:50:48","6715e08743f2792a96c26624dfcc8cb7304486c3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.86","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143221.36","143796","4306.214885867321","134643","152116","142027.73813115904","144414.98186884093","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2208.3251","50","False","500","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","2026-07-24 02:50:48","6715e08743f2792a96c26624dfcc8cb7304486c3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.86","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3682.5198","50","False","500","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","2026-07-24 02:50:48","6715e08743f2792a96c26624dfcc8cb7304486c3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.86","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"150096","144721.5","39154.51861170414","139247","420718","139242.9211552231","160949.0788447769","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","34075.8883","50","False","500","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","2026-07-24 02:50:48","6715e08743f2792a96c26624dfcc8cb7304486c3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.86","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141846.28","141636","4579.379376184114","132286","155083","140576.94079747397","143115.61920252602","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2208.3251","50","False","500","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","2026-07-24 02:50:48","6715e08743f2792a96c26624dfcc8cb7304486c3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.86","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3682.5198","50","False","500","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","2026-07-24 02:50:48","6715e08743f2792a96c26624dfcc8cb7304486c3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.86","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144717.32","144133.5","3880.319671451445","139158","159472","143641.7502616809","145792.88973831912","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","34075.8883","50","False","500","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","2026-07-24 02:50:48","6715e08743f2792a96c26624dfcc8cb7304486c3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.86","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143544.38","143204.5","5675.996483186265","135442","166811","141971.0740435252","145117.6859564748","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2762.0883","50","False","500","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","2026-07-24 02:50:48","6715e08743f2792a96c26624dfcc8cb7304486c3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.86","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
