"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","InstrumentPropertyAccessors","Common","Native","Methods","JS","JVM","Reference","Dedicated","FlushEarly","CILabel","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"218267.1","189222.5","46016.241389340365","181886","336005","205512.04863820111","231022.1513617989","commonmain-plain-jar","2719.2797","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-07-25 01:57:15","aa8c7da9b60219a5461e72b99099a6745926f323","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.21","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8040.5269","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-07-25 01:57:15","aa8c7da9b60219a5461e72b99099a6745926f323","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.21","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"247283.16","234661.5","25144.41019907987","228434","336489","240313.4850794034","254252.8349205966","commonmain-plain-win-exe","107507.8561","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-07-25 01:57:15","aa8c7da9b60219a5461e72b99099a6745926f323","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.21","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"207882.7","208045","16427.473158631274","187487","251679","203329.23675405458","212436.16324594544","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3613.9202","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-07-25 01:57:15","aa8c7da9b60219a5461e72b99099a6745926f323","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.21","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4981.8547","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-07-25 01:57:15","aa8c7da9b60219a5461e72b99099a6745926f323","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.21","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222704.22","221894.5","3571.097866345923","217745","233675","221714.36217311097","223694.07782688903","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","28165.3579","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-07-25 01:57:15","aa8c7da9b60219a5461e72b99099a6745926f323","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.21","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189420.6","188847.5","3754.1852835012214","184554","206842","188379.9929302566","190461.20706974342","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3613.9202","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-07-25 01:57:15","aa8c7da9b60219a5461e72b99099a6745926f323","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.21","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4981.8547","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-07-25 01:57:15","aa8c7da9b60219a5461e72b99099a6745926f323","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.21","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221393.76","219857","6348.499818163697","216842","260844","219634.04562946025","223153.47437053977","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","28165.3579","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-07-25 01:57:15","aa8c7da9b60219a5461e72b99099a6745926f323","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.21","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"207088.96","207651","11504.905693606339","189588","251060","203899.96284151857","210277.9571584814","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4166.3985","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-07-25 01:57:15","aa8c7da9b60219a5461e72b99099a6745926f323","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.21","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
