"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","Dedicated","Native","TestKIR","CILabel","Enabled","Methods","FlushEarly","Reference","JS","Common","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"143018.9","141846.5","6830.767182090044","134039","170899","141125.50793629634","144912.29206370364","commonmain-plain-jar","1786.3663","50","False","500","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","True","2026-07-25 02:49:57","7d62be47f23eea418f324fc0be8da96d41e07e07","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5641.4539","50","False","500","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","True","2026-07-25 02:49:57","7d62be47f23eea418f324fc0be8da96d41e07e07","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"123895.14","122677.5","3456.047866791057","119305","135715","122937.17240597641","124853.10759402359","commonmain-plain-linux-exe","15004.6814","50","False","500","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","True","2026-07-25 02:49:57","7d62be47f23eea418f324fc0be8da96d41e07e07","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141661.52","140933.5","4881.9154079738255","133356","154414","140308.3220878583","143014.71791214167","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","1980.7784","50","False","500","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","True","2026-07-25 02:49:57","7d62be47f23eea418f324fc0be8da96d41e07e07","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3425.9896","50","False","500","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","True","2026-07-25 02:49:57","7d62be47f23eea418f324fc0be8da96d41e07e07","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"125740.9","124782","3044.9544231031623","120863","136983","124896.88169497575","126584.91830502424","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","14188.5373","50","False","500","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","True","2026-07-25 02:49:57","7d62be47f23eea418f324fc0be8da96d41e07e07","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141512.58","140512","4857.79558677155","130884","151552","140166.06776119847","142859.0922388015","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","1980.7784","50","False","500","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","True","2026-07-25 02:49:57","7d62be47f23eea418f324fc0be8da96d41e07e07","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3425.9896","50","False","500","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","True","2026-07-25 02:49:57","7d62be47f23eea418f324fc0be8da96d41e07e07","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"125378.08","124646","3085.626280755626","121390","140841","124522.78803120674","126233.37196879326","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","14188.5373","50","False","500","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","True","2026-07-25 02:49:57","7d62be47f23eea418f324fc0be8da96d41e07e07","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141520.96","141259","5371.045350919378","132753","158205","140032.18218483933","143009.73781516065","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1579.5831","50","False","500","System.Boolean[]","False","True","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","True","2026-07-25 02:49:57","7d62be47f23eea418f324fc0be8da96d41e07e07","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
