"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","CILabel","FlushEarly","JS","Reference","Native","InstrumentPropertyAccessors","Methods","TestKIR","JVM","Common","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"193944.66","192081.5","7629.8428919283915","185749","222538","191829.77544987795","196059.54455012205","commonmain-plain-jar","2120.4113","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","False","2026-07-27 02:10:36","3da77ab01c116346891ed10a52cb36406fd37b7b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.74","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.27","High performance","0.15","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6696.2421","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","False","2026-07-27 02:10:36","3da77ab01c116346891ed10a52cb36406fd37b7b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.74","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.27","High performance","0.15","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"164969.68","163366.5","4812.585144499911","160716","185690","163635.69945644028","166303.6605435597","commonmain-plain-win-exe","180703.6721","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","False","2026-07-27 02:10:36","3da77ab01c116346891ed10a52cb36406fd37b7b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.74","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.27","High performance","0.15","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"203962.5","201497.5","12290.067513223506","189345","269817","200555.8670887024","207369.1329112976","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2499.0411","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","False","2026-07-27 02:10:36","3da77ab01c116346891ed10a52cb36406fd37b7b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.74","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.27","High performance","0.15","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3749.8474","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","False","2026-07-27 02:10:36","3da77ab01c116346891ed10a52cb36406fd37b7b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.74","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.27","High performance","0.15","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"167532.94","166725.5","5511.493876566368","160809","193725","166005.2318397214","169060.6481602786","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","17285.2796","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","False","2026-07-27 02:10:36","3da77ab01c116346891ed10a52cb36406fd37b7b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.74","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.27","High performance","0.15","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"198124.02","197330","4958.509607755548","191151","212506","196749.59125885673","199498.44874114325","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2499.0411","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","False","2026-07-27 02:10:36","3da77ab01c116346891ed10a52cb36406fd37b7b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.74","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.27","High performance","0.15","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3749.8474","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","False","2026-07-27 02:10:36","3da77ab01c116346891ed10a52cb36406fd37b7b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.74","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.27","High performance","0.15","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"167224.16","165577","7464.493181969791","162061","207340","165155.1080511401","169293.2119488599","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","17285.2796","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","False","2026-07-27 02:10:36","3da77ab01c116346891ed10a52cb36406fd37b7b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.74","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.27","High performance","0.15","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"200883.84","196918.5","10988.876916784759","190017","240023","197837.87872089073","203929.80127910926","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2927.5198","50","False","500","System.Boolean[]","ci-windows-large","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","False","2026-07-27 02:10:36","3da77ab01c116346891ed10a52cb36406fd37b7b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.74","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.27","High performance","0.15","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
