"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","Dedicated","JS","Reference","JVM","Enabled","CILabel","FlushEarly","InstrumentPropertyAccessors","Methods","Common","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"207890.06","212350","12556.97952503885","189287","249079","204409.44285363675","211370.67714636325","commonmain-plain-jar","2788.6571","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-07-28 01:50:28","a1c7bf303adcf4d0100bb9007e69caba7e8bf2ce","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.47","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8045.9196","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-07-28 01:50:28","a1c7bf303adcf4d0100bb9007e69caba7e8bf2ce","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.47","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231297.02","228634","12831.799850673915","221986","310037","227740.2265458179","234853.8134541821","commonmain-plain-win-exe","109577.88","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-07-28 01:50:28","a1c7bf303adcf4d0100bb9007e69caba7e8bf2ce","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.47","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"207288.12","201159.5","14361.966266724434","193170","254605","203307.18605455768","211269.0539454423","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3555.5507","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-07-28 01:50:28","a1c7bf303adcf4d0100bb9007e69caba7e8bf2ce","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.47","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","6114.6825","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-07-28 01:50:28","a1c7bf303adcf4d0100bb9007e69caba7e8bf2ce","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.47","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"244772.88","237732.5","22328.409350147518","222864","290212","238583.76069147742","250961.9993085226","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","28097.6223","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-07-28 01:50:28","a1c7bf303adcf4d0100bb9007e69caba7e8bf2ce","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.47","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"218067.18","203941.5","26560.134594177347","192496","279126","210705.08629793808","225429.2737020619","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3555.5507","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-07-28 01:50:28","a1c7bf303adcf4d0100bb9007e69caba7e8bf2ce","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.47","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","6114.6825","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-07-28 01:50:28","a1c7bf303adcf4d0100bb9007e69caba7e8bf2ce","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.47","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"237638.62","227748.5","19780.83093722149","220698","280800","232155.6534002601","243121.58659973988","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","28097.6223","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-07-28 01:50:28","a1c7bf303adcf4d0100bb9007e69caba7e8bf2ce","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.47","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"196609.4","195870.5","4731.608670657888","189987","210512","195297.86498983824","197920.93501016175","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2385.0276","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-07-28 01:50:28","a1c7bf303adcf4d0100bb9007e69caba7e8bf2ce","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.47","High performance","0.16","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
