"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","FlushEarly","JS","Dedicated","JVM","Methods","Reference","Native","CILabel","Common","TestKIR","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"155407.66","154569","5505.092038415758","145759","175200","153881.7263387234","156933.5936612766","commonmain-plain-jar","1919.653","50","False","500","System.Boolean[]","System.Boolean[]","True","False","True","System.String[]","True","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","2026-07-28 02:42:16","b60537001335c999e2a4b5a1668357bf5bac1f27","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","84","0.05","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5960.6336","50","False","500","System.Boolean[]","System.Boolean[]","True","False","True","System.String[]","True","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","2026-07-28 02:42:16","b60537001335c999e2a4b5a1668357bf5bac1f27","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","84","0.05","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136962.3","136768","3134.4284135376006","131757","149363","136093.48077014834","137831.11922985164","commonmain-plain-linux-exe","16775.3444","50","False","500","System.Boolean[]","System.Boolean[]","True","False","True","System.String[]","True","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","2026-07-28 02:42:16","b60537001335c999e2a4b5a1668357bf5bac1f27","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","84","0.05","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155320.82","154853","5681.391359804858","143501","167829","153746.01866001968","156895.62133998034","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","1942.8017","50","False","500","System.Boolean[]","System.Boolean[]","True","False","True","System.String[]","True","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","2026-07-28 02:42:16","b60537001335c999e2a4b5a1668357bf5bac1f27","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","84","0.05","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3604.7456","50","False","500","System.Boolean[]","System.Boolean[]","True","False","True","System.String[]","True","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","2026-07-28 02:42:16","b60537001335c999e2a4b5a1668357bf5bac1f27","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","84","0.05","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138194.22","137433","4364.8979850621945","132935","163379","136984.3320059454","139404.1079940546","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","15302.7346","50","False","500","System.Boolean[]","System.Boolean[]","True","False","True","System.String[]","True","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","2026-07-28 02:42:16","b60537001335c999e2a4b5a1668357bf5bac1f27","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","84","0.05","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156689.1","156169.5","4923.585491472321","148184","174742","155324.35173000148","158053.84826999853","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","1942.8017","50","False","500","System.Boolean[]","System.Boolean[]","True","False","True","System.String[]","True","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","2026-07-28 02:42:16","b60537001335c999e2a4b5a1668357bf5bac1f27","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","84","0.05","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3604.7456","50","False","500","System.Boolean[]","System.Boolean[]","True","False","True","System.String[]","True","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","2026-07-28 02:42:16","b60537001335c999e2a4b5a1668357bf5bac1f27","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","84","0.05","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138510.52","138237","3141.2433794565477","132761","148524","137639.81175797133","139381.22824202865","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","15302.7346","50","False","500","System.Boolean[]","System.Boolean[]","True","False","True","System.String[]","True","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","2026-07-28 02:42:16","b60537001335c999e2a4b5a1668357bf5bac1f27","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","84","0.05","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154595.56","155245","4799.37915695821","143191","165590","153265.23996943075","155925.88003056924","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2012.4477","50","False","500","System.Boolean[]","System.Boolean[]","True","False","True","System.String[]","True","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","2026-07-28 02:42:16","b60537001335c999e2a4b5a1668357bf5bac1f27","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","84","0.05","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3776.1433","50","False","500","System.Boolean[]","System.Boolean[]","True","False","True","System.String[]","True","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","2026-07-28 02:42:16","b60537001335c999e2a4b5a1668357bf5bac1f27","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","84","0.05","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136839.42","136038","3633.3891756365233","132015","153059","135832.29590308532","137846.5440969147","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14960.8596","50","False","500","System.Boolean[]","System.Boolean[]","True","False","True","System.String[]","True","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","2026-07-28 02:42:16","b60537001335c999e2a4b5a1668357bf5bac1f27","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","84","0.05","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154197.72","153532","4282.9695689046475","146436","166548","153010.54140429106","155384.89859570895","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2012.4477","50","False","500","System.Boolean[]","System.Boolean[]","True","False","True","System.String[]","True","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","2026-07-28 02:42:16","b60537001335c999e2a4b5a1668357bf5bac1f27","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","84","0.05","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3776.1433","50","False","500","System.Boolean[]","System.Boolean[]","True","False","True","System.String[]","True","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","2026-07-28 02:42:16","b60537001335c999e2a4b5a1668357bf5bac1f27","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","84","0.05","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136350.04","136333","2472.4999738759","131977","142132","135664.69797277963","137035.3820272204","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14960.8596","50","False","500","System.Boolean[]","System.Boolean[]","True","False","True","System.String[]","True","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","2026-07-28 02:42:16","b60537001335c999e2a4b5a1668357bf5bac1f27","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","84","0.05","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
