"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","FlushEarly","Enabled","Dedicated","Reference","CILabel","InstrumentPropertyAccessors","JS","Methods","TestKIR","JVM","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"191217.54","177723","34353.6750344984","173554","311309","181695.18710237546","200739.89289762455","commonmain-plain-jar","2693.3611","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","True","True","2026-07-29 01:52:42","0e4486cd7a5db6eb1eb65d6b705d2261f783bb88","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.23","High performance","0.09","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7482.4913","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","True","True","2026-07-29 01:52:42","0e4486cd7a5db6eb1eb65d6b705d2261f783bb88","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.23","High performance","0.09","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"241699.72","238072.5","13836.519106380205","227637","287271","237864.43257664965","245535.00742335035","commonmain-plain-win-exe","87549.2178","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","True","True","2026-07-29 01:52:42","0e4486cd7a5db6eb1eb65d6b705d2261f783bb88","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.23","High performance","0.09","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"181175.78","178604.5","6969.1030673148425","173506","203519","179244.04318522697","183107.51681477303","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2878.3074","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","True","True","2026-07-29 01:52:42","0e4486cd7a5db6eb1eb65d6b705d2261f783bb88","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.23","High performance","0.09","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4443.0123","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","True","True","2026-07-29 01:52:42","0e4486cd7a5db6eb1eb65d6b705d2261f783bb88","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.23","High performance","0.09","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"241499.4","238910.5","16009.629228711583","225562","275742","237061.7571823735","245937.0428176265","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25191.1006","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","True","True","2026-07-29 01:52:42","0e4486cd7a5db6eb1eb65d6b705d2261f783bb88","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.23","High performance","0.09","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"199005.38","194350","19303.633147399687","175921","275349","193654.68587917503","204356.07412082498","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2878.3074","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","True","True","2026-07-29 01:52:42","0e4486cd7a5db6eb1eb65d6b705d2261f783bb88","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.23","High performance","0.09","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4443.0123","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","True","True","2026-07-29 01:52:42","0e4486cd7a5db6eb1eb65d6b705d2261f783bb88","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.23","High performance","0.09","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228471.54","227085.5","4366.514204063204","222768","245167","227261.20401289454","229681.87598710548","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25191.1006","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","True","True","2026-07-29 01:52:42","0e4486cd7a5db6eb1eb65d6b705d2261f783bb88","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.23","High performance","0.09","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"178620.62","177442.5","5253.346897756064","172934","199851","177164.46653159117","180076.77346840882","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2609.4616","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","True","True","2026-07-29 01:52:42","0e4486cd7a5db6eb1eb65d6b705d2261f783bb88","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.23","High performance","0.09","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
