"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","Methods","Native","TestKIR","Common","Enabled","FlushEarly","Reference","InstrumentPropertyAccessors","JS","JVM","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"159687","158081.5","10604.281634301866","147089","219373","156747.6430943351","162626.3569056649","commonmain-plain-jar","2325.7873","50","False","500","ci-linux-large","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","2026-07-29 02:49:07","226578eb4edd25183db139077a47fc8c22082c0a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.49","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6504.6312","50","False","500","ci-linux-large","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","2026-07-29 02:49:07","226578eb4edd25183db139077a47fc8c22082c0a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.49","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"140725.96","138073","12524.715148433028","131583","220199","137254.28608255633","144197.63391744366","commonmain-plain-linux-exe","17927.6655","50","False","500","ci-linux-large","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","2026-07-29 02:49:07","226578eb4edd25183db139077a47fc8c22082c0a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.49","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155407.04","155105","4303.911851195043","147239","164513","154214.05649980123","156600.0235001988","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2950.111","50","False","500","ci-linux-large","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","2026-07-29 02:49:07","226578eb4edd25183db139077a47fc8c22082c0a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.49","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3971.2915","50","False","500","ci-linux-large","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","2026-07-29 02:49:07","226578eb4edd25183db139077a47fc8c22082c0a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.49","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139677","138950","5078.335911758207","133229","158620","138269.3571019438","141084.6428980562","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","20233.6136","50","False","500","ci-linux-large","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","2026-07-29 02:49:07","226578eb4edd25183db139077a47fc8c22082c0a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.49","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156277.64","154100.5","5448.953004692455","148179","177879","154767.26728496596","157788.01271503407","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2950.111","50","False","500","ci-linux-large","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","2026-07-29 02:49:07","226578eb4edd25183db139077a47fc8c22082c0a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.49","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3971.2915","50","False","500","ci-linux-large","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","2026-07-29 02:49:07","226578eb4edd25183db139077a47fc8c22082c0a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.49","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137853.14","137925.5","2470.841945324611","131804","145874","137168.25755484658","138538.02244515345","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","20233.6136","50","False","500","ci-linux-large","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","2026-07-29 02:49:07","226578eb4edd25183db139077a47fc8c22082c0a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.49","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156826.14","156104","5243.959895743222","143486","169058","155372.5884758003","158279.69152419973","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2531.5667","50","False","500","ci-linux-large","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","2026-07-29 02:49:07","226578eb4edd25183db139077a47fc8c22082c0a","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.49","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
