"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","Methods","Reference","TestKIR","JVM","FlushEarly","Dedicated","InstrumentPropertyAccessors","JS","Enabled","Native","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"219488.88","217080","10297.671065491519","190734","254839","216634.5112079917","222343.24879200832","commonmain-plain-jar","2707.7925","50","False","500","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","2026-07-30 01:45:53","ce5743e07fff0b2bc92d6943b16a4ba2e90f6dcc","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.23","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8161.9759","50","False","500","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","2026-07-30 01:45:53","ce5743e07fff0b2bc92d6943b16a4ba2e90f6dcc","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.23","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"232538.44","230558","10778.564783033073","221822","295572","229550.77427017986","235526.10572982015","commonmain-plain-win-exe","113395.2344","50","False","500","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","2026-07-30 01:45:53","ce5743e07fff0b2bc92d6943b16a4ba2e90f6dcc","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.23","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"214915.96","209993.5","16094.94034954806","189844","258885","210454.67014612828","219377.2498538717","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3420.0199","50","False","500","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","2026-07-30 01:45:53","ce5743e07fff0b2bc92d6943b16a4ba2e90f6dcc","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.23","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5055.2892","50","False","500","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","2026-07-30 01:45:53","ce5743e07fff0b2bc92d6943b16a4ba2e90f6dcc","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.23","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"239394.42","235230","16085.540837798704","222195","293493","234935.73555785944","243853.10444214058","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","26987.4801","50","False","500","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","2026-07-30 01:45:53","ce5743e07fff0b2bc92d6943b16a4ba2e90f6dcc","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.23","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"218026.42","209316.5","24045.76508693201","191099","290032","211361.27396769897","224691.56603230105","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3420.0199","50","False","500","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","2026-07-30 01:45:53","ce5743e07fff0b2bc92d6943b16a4ba2e90f6dcc","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.23","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5055.2892","50","False","500","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","2026-07-30 01:45:53","ce5743e07fff0b2bc92d6943b16a4ba2e90f6dcc","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.23","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"237523.48","226936","21709.14613258003","217539","289734","231506.01169790613","243540.9483020939","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","26987.4801","50","False","500","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","2026-07-30 01:45:53","ce5743e07fff0b2bc92d6943b16a4ba2e90f6dcc","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.23","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"191243.58","189619","5638.072695341838","183277","209976","189680.78598120602","192806.37401879395","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2854.7266","50","False","500","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","2026-07-30 01:45:53","ce5743e07fff0b2bc92d6943b16a4ba2e90f6dcc","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.44","High performance","0.23","138","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
