"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","JS","Reference","Methods","FlushEarly","Native","InstrumentPropertyAccessors","TestKIR","JVM","Dedicated","Enabled","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"156328.92","153847.5","8688.026346034394","147848","187107","153920.72196099197","158737.11803900806","commonmain-plain-jar","1873.2249","50","False","500","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","System.Boolean[]","True","2026-07-30 02:34:21","71e48e9549b99589c8dffca78da4ff66b03f242f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6346.7102","50","False","500","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","System.Boolean[]","True","2026-07-30 02:34:21","71e48e9549b99589c8dffca78da4ff66b03f242f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138003.4","137081","5422.548869756542","133504","170205","136500.34613776885","139506.45386223114","commonmain-plain-linux-exe","18339.0955","50","False","500","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","System.Boolean[]","True","2026-07-30 02:34:21","71e48e9549b99589c8dffca78da4ff66b03f242f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153450.16","153696","4805.218261984166","142423","167678","152118.22145209287","154782.09854790714","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2250.1038","50","False","500","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","System.Boolean[]","True","2026-07-30 02:34:21","71e48e9549b99589c8dffca78da4ff66b03f242f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3779.8935","50","False","500","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","System.Boolean[]","True","2026-07-30 02:34:21","71e48e9549b99589c8dffca78da4ff66b03f242f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136546.14","136067.5","3435.0244867974316","130179","144629","135593.99978960273","137498.2802103973","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","16129.2885","50","False","500","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","System.Boolean[]","True","2026-07-30 02:34:21","71e48e9549b99589c8dffca78da4ff66b03f242f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153902.08","153623","5059.278531448482","143615","163316","152499.71953826048","155304.4404617395","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2250.1038","50","False","500","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","System.Boolean[]","True","2026-07-30 02:34:21","71e48e9549b99589c8dffca78da4ff66b03f242f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3779.8935","50","False","500","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","System.Boolean[]","True","2026-07-30 02:34:21","71e48e9549b99589c8dffca78da4ff66b03f242f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137177.42","136832","2481.5053453868836","130476","143427","136489.5818111487","137865.25818885132","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","16129.2885","50","False","500","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","System.Boolean[]","True","2026-07-30 02:34:21","71e48e9549b99589c8dffca78da4ff66b03f242f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153287.86","152789","4525.113880673194","143359","167932","152033.56242541916","154542.1575745808","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1654.3836","50","False","500","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","False","System.Boolean[]","True","2026-07-30 02:34:21","71e48e9549b99589c8dffca78da4ff66b03f242f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
