"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","JVM","TestKIR","JS","Enabled","CILabel","Methods","Native","FlushEarly","Dedicated","Reference","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"257792.44","220827","120231.66269741982","204125","799605","224465.92338938176","291118.9566106183","commonmain-plain-jar","2964.8817","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","True","System.Boolean[]","False","True","True","2026-07-31 02:02:39","cc3ad3b7f4a59f91995e82af4ffcdb866f878eb5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.92","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.4","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7733.215","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","True","System.Boolean[]","False","True","True","2026-07-31 02:02:39","cc3ad3b7f4a59f91995e82af4ffcdb866f878eb5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.92","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.4","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"253017.24","250818.5","15300.99261093868","230208","320837","248776.02123144062","257258.45876855936","commonmain-plain-win-exe","118625.9691","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","True","System.Boolean[]","False","True","True","2026-07-31 02:02:39","cc3ad3b7f4a59f91995e82af4ffcdb866f878eb5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.92","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.4","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"216879.22","217120","7998.781933519629","188899","235401","214662.07076500173","219096.36923499827","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","9244.4408","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","True","System.Boolean[]","False","True","True","2026-07-31 02:02:39","cc3ad3b7f4a59f91995e82af4ffcdb866f878eb5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.92","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.4","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","9553.0867","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","True","System.Boolean[]","False","True","True","2026-07-31 02:02:39","cc3ad3b7f4a59f91995e82af4ffcdb866f878eb5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.92","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.4","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"253911.38","252997.5","14433.354734553895","221622","291605","249910.658180835","257912.10181916502","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","32688.0647","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","True","System.Boolean[]","False","True","True","2026-07-31 02:02:39","cc3ad3b7f4a59f91995e82af4ffcdb866f878eb5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.92","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.4","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"212646","206529.5","19745.482003512105","183978","255238","207172.8316247877","218119.1683752123","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","9244.4408","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","True","System.Boolean[]","False","True","True","2026-07-31 02:02:39","cc3ad3b7f4a59f91995e82af4ffcdb866f878eb5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.92","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.4","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","9553.0867","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","True","System.Boolean[]","False","True","True","2026-07-31 02:02:39","cc3ad3b7f4a59f91995e82af4ffcdb866f878eb5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.92","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.4","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"288970.06","284545","34346.059816443194","255936","490268","279449.81793312763","298490.30206687236","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","32688.0647","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","True","System.Boolean[]","False","True","True","2026-07-31 02:02:39","cc3ad3b7f4a59f91995e82af4ffcdb866f878eb5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.92","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.4","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"233621.82","238782.5","21306.795085222773","190987","271451","227715.87771827562","239527.7622817244","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","5268.5505","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","ci-windows-large","System.String[]","True","System.Boolean[]","False","True","True","2026-07-31 02:02:39","cc3ad3b7f4a59f91995e82af4ffcdb866f878eb5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","11.92","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.34","High performance","0.4","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
