"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","JS","Common","Methods","Enabled","Native","Dedicated","TestKIR","CILabel","JVM","Reference","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"166214.54","155462","30634.95141721465","147909","273507","157722.9646997343","174706.11530026572","commonmain-plain-jar","2078.9085","50","False","500","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","False","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-07-31 03:14:43","9c46cb0c8c03758e2d2889f61767ed8e30f07ffe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.98","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6080.6211","50","False","500","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","False","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-07-31 03:14:43","9c46cb0c8c03758e2d2889f61767ed8e30f07ffe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.98","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137909.18","137800","2520.472774650641","132687","143451","137210.5405908254","138607.81940917458","commonmain-plain-linux-exe","18333.1468","50","False","500","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","False","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-07-31 03:14:43","9c46cb0c8c03758e2d2889f61767ed8e30f07ffe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.98","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154700.66","154455.5","5183.5619563684395","144851","176946","153263.8499304609","156137.4700695391","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2409.6485","50","False","500","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","False","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-07-31 03:14:43","9c46cb0c8c03758e2d2889f61767ed8e30f07ffe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.98","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3748.3345","50","False","500","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","False","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-07-31 03:14:43","9c46cb0c8c03758e2d2889f61767ed8e30f07ffe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.98","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138910.98","138038.5","4064.7781800060197","133069","154765","137784.28097168027","140037.67902831975","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","18879.6104","50","False","500","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","False","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-07-31 03:14:43","9c46cb0c8c03758e2d2889f61767ed8e30f07ffe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.98","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155227.18","154542","4608.160036947767","147045","167844","153949.86320531988","156504.4967946801","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2409.6485","50","False","500","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","False","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-07-31 03:14:43","9c46cb0c8c03758e2d2889f61767ed8e30f07ffe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.98","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3748.3345","50","False","500","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","False","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-07-31 03:14:43","9c46cb0c8c03758e2d2889f61767ed8e30f07ffe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.98","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138879.62","138189","4893.790938588635","133245","166456","137523.13035871295","140236.10964128704","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","18879.6104","50","False","500","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","False","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-07-31 03:14:43","9c46cb0c8c03758e2d2889f61767ed8e30f07ffe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.98","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154025","152992.5","4869.853285306259","144225","164072","152675.14553768194","155374.85446231806","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2299.5304","50","False","500","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","False","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-07-31 03:14:43","9c46cb0c8c03758e2d2889f61767ed8e30f07ffe","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.98","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
