"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","CILabel","Methods","InstrumentPropertyAccessors","Reference","JVM","TestKIR","Dedicated","Enabled","Common","FlushEarly","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"164078.1","143596.5","64723.032355064235","135785","461306","146137.79072972888","182018.40927027114","commonmain-plain-jar","2042.3848","50","False","500","True","ci-windows-large","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-08-01 02:04:26","5e136c51423c74292b3c6a1c157c6de6fd6661bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.32","High performance","0.11","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6213.2637","50","False","500","True","ci-windows-large","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-08-01 02:04:26","5e136c51423c74292b3c6a1c157c6de6fd6661bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.32","High performance","0.11","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"180461.26","179073.5","4739.630045882984","175161","202810","179147.50157806234","181775.01842193768","commonmain-plain-win-exe","93420.8828","50","False","500","True","ci-windows-large","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-08-01 02:04:26","5e136c51423c74292b3c6a1c157c6de6fd6661bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.32","High performance","0.11","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"142552.66","140849","6263.523711953526","134612","162990","140816.49980438873","144288.82019561128","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2862.8083","50","False","500","True","ci-windows-large","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-08-01 02:04:26","5e136c51423c74292b3c6a1c157c6de6fd6661bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.32","High performance","0.11","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3603.8224","50","False","500","True","ci-windows-large","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-08-01 02:04:26","5e136c51423c74292b3c6a1c157c6de6fd6661bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.32","High performance","0.11","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"178912.38","177391","4993.496917481572","173818","201008","177528.25327138335","180296.50672861666","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","21208.8689","50","False","500","True","ci-windows-large","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-08-01 02:04:26","5e136c51423c74292b3c6a1c157c6de6fd6661bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.32","High performance","0.11","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"139506.88","139026","2962.038098943334","134790","148828","138685.84492744887","140327.91507255114","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2862.8083","50","False","500","True","ci-windows-large","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-08-01 02:04:26","5e136c51423c74292b3c6a1c157c6de6fd6661bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.32","High performance","0.11","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3603.8224","50","False","500","True","ci-windows-large","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-08-01 02:04:26","5e136c51423c74292b3c6a1c157c6de6fd6661bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.32","High performance","0.11","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"194099.56","185306","21208.938896337357","174852","285327","188220.74206997445","199978.37793002554","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","21208.8689","50","False","500","True","ci-windows-large","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-08-01 02:04:26","5e136c51423c74292b3c6a1c157c6de6fd6661bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.32","High performance","0.11","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"157834.72","156729","9421.346004273746","141321","192206","155223.25612216952","160446.18387783048","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3418.2342","50","False","500","True","ci-windows-large","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-08-01 02:04:26","5e136c51423c74292b3c6a1c157c6de6fd6661bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.32","High performance","0.11","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4276.9569","50","False","500","True","ci-windows-large","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-08-01 02:04:26","5e136c51423c74292b3c6a1c157c6de6fd6661bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.32","High performance","0.11","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"184747.06","182955","9484.931805957987","175218","238897","182117.97103715874","187376.14896284125","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","22094.9011","50","False","500","True","ci-windows-large","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-08-01 02:04:26","5e136c51423c74292b3c6a1c157c6de6fd6661bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.32","High performance","0.11","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"142205.22","139414.5","10012.147277875889","136223","203239","139429.9943641056","144980.4456358944","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3418.2342","50","False","500","True","ci-windows-large","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-08-01 02:04:26","5e136c51423c74292b3c6a1c157c6de6fd6661bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.32","High performance","0.11","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4276.9569","50","False","500","True","ci-windows-large","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-08-01 02:04:26","5e136c51423c74292b3c6a1c157c6de6fd6661bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.32","High performance","0.11","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"180734.42","178291.5","6716.536510549988","174067","209113","178872.69106302282","182596.1489369772","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","22094.9011","50","False","500","True","ci-windows-large","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-08-01 02:04:26","5e136c51423c74292b3c6a1c157c6de6fd6661bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.32","High performance","0.11","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"139102.96","138248","3308.2557396887673","135075","148402","138185.95829356616","140019.96170643382","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4341.6087","50","False","500","True","ci-windows-large","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-08-01 02:04:26","5e136c51423c74292b3c6a1c157c6de6fd6661bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.32","High performance","0.11","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3499.9214","50","False","500","True","ci-windows-large","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-08-01 02:04:26","5e136c51423c74292b3c6a1c157c6de6fd6661bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.32","High performance","0.11","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"184610.2","181187.5","10735.39001316179","173266","221049","181634.5017058203","187585.89829417973","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","20293.5026","50","False","500","True","ci-windows-large","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-08-01 02:04:26","5e136c51423c74292b3c6a1c157c6de6fd6661bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.32","High performance","0.11","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"143625.56","142343","5151.721270347119","132536","159913","142197.57571834218","145053.5442816578","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4341.6087","50","False","500","True","ci-windows-large","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-08-01 02:04:26","5e136c51423c74292b3c6a1c157c6de6fd6661bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.32","High performance","0.11","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3499.9214","50","False","500","True","ci-windows-large","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","2026-08-01 02:04:26","5e136c51423c74292b3c6a1c157c6de6fd6661bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.32","High performance","0.11","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
