"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","JVM","Reference","TestKIR","Dedicated","Enabled","FlushEarly","JS","Methods","Common","InstrumentPropertyAccessors","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"221713.36","190326","50462.40993167739","180661","358912","207725.89359497983","235700.82640502014","commonmain-plain-jar","2763.0662","50","False","500","ci-windows-large","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","2026-08-02 02:00:34","499d8f10dc10a135cf614d0014d50b31904969a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.07","High performance","0.35","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","11088.0808","50","False","500","ci-windows-large","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","2026-08-02 02:00:34","499d8f10dc10a135cf614d0014d50b31904969a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.07","High performance","0.35","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224207.44","221667.5","6953.925246438965","218106","253123","222279.91026253244","226134.96973746756","commonmain-plain-win-exe","127645.5612","50","False","500","ci-windows-large","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","2026-08-02 02:00:34","499d8f10dc10a135cf614d0014d50b31904969a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.07","High performance","0.35","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"192398.02","188538.5","13290.863036872284","181970","242260","188713.98072257193","196082.05927742805","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3498.4422","50","False","500","ci-windows-large","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","2026-08-02 02:00:34","499d8f10dc10a135cf614d0014d50b31904969a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.07","High performance","0.35","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4909.1315","50","False","500","ci-windows-large","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","2026-08-02 02:00:34","499d8f10dc10a135cf614d0014d50b31904969a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.07","High performance","0.35","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"250061.12","247721","13173.358375268825","229953","291394","246409.65135304394","253712.58864695605","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","28366.9088","50","False","500","ci-windows-large","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","2026-08-02 02:00:34","499d8f10dc10a135cf614d0014d50b31904969a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.07","High performance","0.35","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"203426.96","198110","12786.73269361486","189146","236116","199882.65852442506","206971.26147557492","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3498.4422","50","False","500","ci-windows-large","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","2026-08-02 02:00:34","499d8f10dc10a135cf614d0014d50b31904969a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.07","High performance","0.35","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4909.1315","50","False","500","ci-windows-large","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","2026-08-02 02:00:34","499d8f10dc10a135cf614d0014d50b31904969a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.07","High performance","0.35","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"248185.12","246741.5","15634.410708094749","221211","296408","243851.48245003264","252518.75754996735","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","28366.9088","50","False","500","ci-windows-large","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","2026-08-02 02:00:34","499d8f10dc10a135cf614d0014d50b31904969a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.07","High performance","0.35","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224760.08","222360","12182.213931760667","187970","259396","221383.3425762428","228136.81742375717","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3137.5672","50","False","500","ci-windows-large","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","2026-08-02 02:00:34","499d8f10dc10a135cf614d0014d50b31904969a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.07","High performance","0.35","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4916.1992","50","False","500","ci-windows-large","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","2026-08-02 02:00:34","499d8f10dc10a135cf614d0014d50b31904969a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.07","High performance","0.35","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"237405.56","233601","17208.626308776133","217927","274256","232635.5721477264","242175.5478522736","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24614.0116","50","False","500","ci-windows-large","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","2026-08-02 02:00:34","499d8f10dc10a135cf614d0014d50b31904969a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.07","High performance","0.35","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231247.78","229395","9845.786193440257","207692","252506","228518.66730407017","233976.89269592983","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3137.5672","50","False","500","ci-windows-large","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","2026-08-02 02:00:34","499d8f10dc10a135cf614d0014d50b31904969a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.07","High performance","0.35","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4916.1992","50","False","500","ci-windows-large","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","2026-08-02 02:00:34","499d8f10dc10a135cf614d0014d50b31904969a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.07","High performance","0.35","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"245199.02","238727.5","18237.80520326514","220928","289553","240143.75831259027","250254.2816874097","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24614.0116","50","False","500","ci-windows-large","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","2026-08-02 02:00:34","499d8f10dc10a135cf614d0014d50b31904969a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.07","High performance","0.35","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
