"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","JVM","InstrumentPropertyAccessors","Dedicated","Enabled","CILabel","TestKIR","Methods","Native","Common","FlushEarly","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"160328.1","159602.5","7215.424057997888","149060","186205","158328.08649002563","162328.11350997438","commonmain-plain-jar","2386.5549","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","2026-08-02 02:58:00","45789427e39b79a4379faea2ce40826071c9bc9d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.74","145","83","0.02","173","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6674.4378","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","2026-08-02 02:58:00","45789427e39b79a4379faea2ce40826071c9bc9d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.74","145","83","0.02","173","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139202.3","138013.5","4104.512386212451","134545","159020","138064.58721163202","140340.01278836795","commonmain-plain-linux-exe","19227.5946","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","2026-08-02 02:58:00","45789427e39b79a4379faea2ce40826071c9bc9d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.74","145","83","0.02","173","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"160723.9","159192","4849.1573905122095","152705","171755","159379.78214704216","162068.01785295783","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2515.3921","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","2026-08-02 02:58:00","45789427e39b79a4379faea2ce40826071c9bc9d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.74","145","83","0.02","173","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3871.2945","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","2026-08-02 02:58:00","45789427e39b79a4379faea2ce40826071c9bc9d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.74","145","83","0.02","173","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138798.5","138570.5","2679.1593507163047","134804","146904","138055.87491604983","139541.12508395017","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","20310.7218","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","2026-08-02 02:58:00","45789427e39b79a4379faea2ce40826071c9bc9d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.74","145","83","0.02","173","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"160452.2","159401","5189.221478316416","150843","175888","159013.82119101263","161890.5788089874","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2515.3921","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","2026-08-02 02:58:00","45789427e39b79a4379faea2ce40826071c9bc9d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.74","145","83","0.02","173","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3871.2945","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","2026-08-02 02:58:00","45789427e39b79a4379faea2ce40826071c9bc9d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.74","145","83","0.02","173","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"140051.7","138702","6548.82743282322","134922","179211","138236.45764766465","141866.94235233538","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","20310.7218","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","2026-08-02 02:58:00","45789427e39b79a4379faea2ce40826071c9bc9d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.74","145","83","0.02","173","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"160915.04","161529","4582.146676136923","150460","171509","159644.93374106157","162185.14625893845","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2037.1159","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","2026-08-02 02:58:00","45789427e39b79a4379faea2ce40826071c9bc9d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.74","145","83","0.02","173","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3480.0219","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","2026-08-02 02:58:00","45789427e39b79a4379faea2ce40826071c9bc9d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.74","145","83","0.02","173","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138147.04","138371.5","2672.474897917659","131014","147015","137406.2677518356","138887.8122481644","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","20389.9006","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","2026-08-02 02:58:00","45789427e39b79a4379faea2ce40826071c9bc9d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.74","145","83","0.02","173","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"159960.46","159470","5219.689498193453","150457","175306","158513.63588677457","161407.2841132254","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2037.1159","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","2026-08-02 02:58:00","45789427e39b79a4379faea2ce40826071c9bc9d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.74","145","83","0.02","173","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3480.0219","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","2026-08-02 02:58:00","45789427e39b79a4379faea2ce40826071c9bc9d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.74","145","83","0.02","173","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143520.98","139017","31699.450358648304","133791","362541","134734.3406470733","152307.61935292673","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","20389.9006","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","2026-08-02 02:58:00","45789427e39b79a4379faea2ce40826071c9bc9d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.74","145","83","0.02","173","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"160954.72","159874.5","6017.005655877112","149664","177783","159286.89112333025","162622.54887666975","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2773.8624","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","2026-08-02 02:58:00","45789427e39b79a4379faea2ce40826071c9bc9d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.74","145","83","0.02","173","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5191.6859","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","2026-08-02 02:58:00","45789427e39b79a4379faea2ce40826071c9bc9d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.74","145","83","0.02","173","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138018.34","137709.5","2208.9443929217427","133803","144223","137406.0518526764","138630.6281473236","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","17042.8128","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","2026-08-02 02:58:00","45789427e39b79a4379faea2ce40826071c9bc9d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.74","145","83","0.02","173","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
