"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","Enabled","Methods","TestKIR","CILabel","Native","JVM","Common","Reference","FlushEarly","JS","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"217834.34","206413.5","33977.16643757891","183386","329729","208416.3499609417","227252.3300390583","commonmain-plain-jar","2663.1331","50","False","500","False","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-08-03 02:04:27","e495e00ab08004c49754c460563f216a4775bd2f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.24","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8014.6069","50","False","500","False","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-08-03 02:04:27","e495e00ab08004c49754c460563f216a4775bd2f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.24","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"233225.64","229478","11362.525397937534","220984","280045","230076.1086459679","236375.17135403212","commonmain-plain-win-exe","104601.7919","50","False","500","False","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-08-03 02:04:27","e495e00ab08004c49754c460563f216a4775bd2f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.24","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"194311.9","192917","5511.609836499306","186752","215479","192784.1596972679","195839.6403027321","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4328.5662","50","False","500","False","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-08-03 02:04:27","e495e00ab08004c49754c460563f216a4775bd2f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.24","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","6981.2052","50","False","500","False","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-08-03 02:04:27","e495e00ab08004c49754c460563f216a4775bd2f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.24","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224982.42","222865.5","6047.938907105596","216672","242504","223306.0168635408","226658.82313645922","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","45875.9544","50","False","500","False","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-08-03 02:04:27","e495e00ab08004c49754c460563f216a4775bd2f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.24","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"191467.02","191023","4055.683814558707","184534","203002","190342.84180117177","192591.1981988282","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4328.5662","50","False","500","False","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-08-03 02:04:27","e495e00ab08004c49754c460563f216a4775bd2f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.24","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","6981.2052","50","False","500","False","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-08-03 02:04:27","e495e00ab08004c49754c460563f216a4775bd2f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.24","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223897.84","221767","7843.470632680045","216809","257256","221723.740861217","226071.939138783","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","45875.9544","50","False","500","False","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-08-03 02:04:27","e495e00ab08004c49754c460563f216a4775bd2f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.24","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"208029.76","204619","13784.742039083705","187334","260068","204208.8244474846","211850.69555251542","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3122.2456","50","False","500","False","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-08-03 02:04:27","e495e00ab08004c49754c460563f216a4775bd2f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.24","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5097.168","50","False","500","False","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-08-03 02:04:27","e495e00ab08004c49754c460563f216a4775bd2f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.24","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231228.22","229542","8456.293406398694","218478","252096","228884.2550547439","233572.1849452561","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24659.9214","50","False","500","False","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-08-03 02:04:27","e495e00ab08004c49754c460563f216a4775bd2f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.24","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189677.82","189142.5","4862.837832301763","182144","211468","188329.91012204383","191025.72987795618","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3122.2456","50","False","500","False","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-08-03 02:04:27","e495e00ab08004c49754c460563f216a4775bd2f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.24","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5097.168","50","False","500","False","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-08-03 02:04:27","e495e00ab08004c49754c460563f216a4775bd2f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.24","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
