"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","CILabel","JVM","JS","Native","Methods","InstrumentPropertyAccessors","TestKIR","Common","FlushEarly","Enabled","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"174888.32","159295","38316.252705682404","147042","322618","164267.5966098046","185509.0433901954","commonmain-plain-jar","2023.198","50","False","500","True","ci-linux-large","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","2026-08-03 03:15:17","cb6b687b6fbb2c3651d22a285b3faa2f38592723","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.72","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6392.1352","50","False","500","True","ci-linux-large","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","2026-08-03 03:15:17","cb6b687b6fbb2c3651d22a285b3faa2f38592723","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.72","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135670.84","135935.5","2728.6207801071687","128495","142058","134914.50490729508","136427.1750927049","commonmain-plain-linux-exe","17869.343","50","False","500","True","ci-linux-large","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","2026-08-03 03:15:17","cb6b687b6fbb2c3651d22a285b3faa2f38592723","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.72","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154599.08","154937.5","4502.4189681656635","143589","164902","153351.07313421989","155847.0868657801","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2268.43","50","False","500","True","ci-linux-large","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","2026-08-03 03:15:17","cb6b687b6fbb2c3651d22a285b3faa2f38592723","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.72","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3690.6279","50","False","500","True","ci-linux-large","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","2026-08-03 03:15:17","cb6b687b6fbb2c3651d22a285b3faa2f38592723","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.72","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136089.9","135832","2929.390305374907","129680","144636","135277.9144341283","136901.8855658717","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","23580.2136","50","False","500","True","ci-linux-large","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","2026-08-03 03:15:17","cb6b687b6fbb2c3651d22a285b3faa2f38592723","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.72","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155439.52","155427","4726.835185083013","146570","165936","154129.30813253403","156749.73186746595","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2268.43","50","False","500","True","ci-linux-large","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","2026-08-03 03:15:17","cb6b687b6fbb2c3651d22a285b3faa2f38592723","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.72","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3690.6279","50","False","500","True","ci-linux-large","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","2026-08-03 03:15:17","cb6b687b6fbb2c3651d22a285b3faa2f38592723","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.72","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136183.62","136017.5","2887.0779796909414","129402","144133","135383.3628124365","136983.87718756348","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","23580.2136","50","False","500","True","ci-linux-large","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","2026-08-03 03:15:17","cb6b687b6fbb2c3651d22a285b3faa2f38592723","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.72","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155770.22","155511","4431.639712617552","149491","166482","154541.83214291354","156998.60785708646","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2406.471","50","False","500","True","ci-linux-large","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","2026-08-03 03:15:17","cb6b687b6fbb2c3651d22a285b3faa2f38592723","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.72","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
