"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","Common","InstrumentPropertyAccessors","JS","Native","Dedicated","Reference","Enabled","TestKIR","Methods","JVM","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"255714.34","274648.5","62081.1168328065","183496","448593","238506.33235112418","272922.34764887585","commonmain-plain-jar","2910.3744","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-windows-large","2026-08-04 01:49:05","11e8c140493605fd81f2c84215f83045fb249664","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.1","High performance","0.15","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","9457.1605","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-windows-large","2026-08-04 01:49:05","11e8c140493605fd81f2c84215f83045fb249664","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.1","High performance","0.15","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224223.88","221987","6618.188082512478","216383","248068","222389.4118564535","226058.34814354652","commonmain-plain-win-exe","121121.2101","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-windows-large","2026-08-04 01:49:05","11e8c140493605fd81f2c84215f83045fb249664","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.1","High performance","0.15","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"190301.74","189670.5","5285.113243086178","182994","214117","188836.78134989817","191766.6986501018","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4340.0701","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-windows-large","2026-08-04 01:49:05","11e8c140493605fd81f2c84215f83045fb249664","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.1","High performance","0.15","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5757.2891","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-windows-large","2026-08-04 01:49:05","11e8c140493605fd81f2c84215f83045fb249664","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.1","High performance","0.15","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"237191.46","235289.5","9303.29005927144","223836","266059","234612.71956060355","239770.20043939643","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","28454.7932","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-windows-large","2026-08-04 01:49:05","11e8c140493605fd81f2c84215f83045fb249664","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.1","High performance","0.15","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"210840.48","209132.5","8946.79305499907","195402","235969","208360.5554886875","213320.40451131252","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4340.0701","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-windows-large","2026-08-04 01:49:05","11e8c140493605fd81f2c84215f83045fb249664","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.1","High performance","0.15","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5757.2891","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-windows-large","2026-08-04 01:49:05","11e8c140493605fd81f2c84215f83045fb249664","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.1","High performance","0.15","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"237619.34","234805.5","10740.009382449442","223277","274789","234642.36128197983","240596.31871802016","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","28454.7932","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-windows-large","2026-08-04 01:49:05","11e8c140493605fd81f2c84215f83045fb249664","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.1","High performance","0.15","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"210780.74","207687","14910.007003666626","186004","249272","206647.896912546","214913.58308745397","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3755.2947","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-windows-large","2026-08-04 01:49:05","11e8c140493605fd81f2c84215f83045fb249664","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.1","High performance","0.15","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
