"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","JS","Dedicated","Reference","FlushEarly","Native","InstrumentPropertyAccessors","Methods","Enabled","JVM","CILabel","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"146862.8","142975.5","15155.195890842055","135621","236998","142661.99402042702","151063.60597957295","commonmain-plain-jar","2155.8013","50","False","500","True","True","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-05 01:49:49","6e4199ab1cc5392dbfb6ff0eac206b8815bb6b48","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.95","High performance","0.08","146","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6405.3065","50","False","500","True","True","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-05 01:49:49","6e4199ab1cc5392dbfb6ff0eac206b8815bb6b48","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.95","High performance","0.08","146","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"180513.2","178612.5","5283.605942450859","174693","199177","179048.6591523184","181977.74084768162","commonmain-plain-win-exe","78047.2149","50","False","500","True","True","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-05 01:49:49","6e4199ab1cc5392dbfb6ff0eac206b8815bb6b48","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.95","High performance","0.08","146","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"142325.5","141867.5","3530.8668777176044","136909","159741","141346.79363422116","143304.20636577884","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3868.2548","50","False","500","True","True","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-05 01:49:49","6e4199ab1cc5392dbfb6ff0eac206b8815bb6b48","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.95","High performance","0.08","146","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4125.8935","50","False","500","True","True","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-05 01:49:49","6e4199ab1cc5392dbfb6ff0eac206b8815bb6b48","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.95","High performance","0.08","146","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"199097.56","182402","33471.9038464885","173281","304237","189819.62160588216","208375.49839411784","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","22746.1944","50","False","500","True","True","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-05 01:49:49","6e4199ab1cc5392dbfb6ff0eac206b8815bb6b48","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.95","High performance","0.08","146","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"142429.42","141598","4619.4296409573235","137581","167727","141148.97943046066","143709.86056953936","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3868.2548","50","False","500","True","True","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-05 01:49:49","6e4199ab1cc5392dbfb6ff0eac206b8815bb6b48","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.95","High performance","0.08","146","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4125.8935","50","False","500","True","True","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-05 01:49:49","6e4199ab1cc5392dbfb6ff0eac206b8815bb6b48","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.95","High performance","0.08","146","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"184206.6","177394.5","30692.896452649456","173682","393544","175698.96315535743","192714.23684464258","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","22746.1944","50","False","500","True","True","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-05 01:49:49","6e4199ab1cc5392dbfb6ff0eac206b8815bb6b48","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.95","High performance","0.08","146","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"141340.64","140567","2693.917250672223","136905","150920","140593.92423488497","142087.35576511506","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2431.9719","50","False","500","True","True","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-05 01:49:49","6e4199ab1cc5392dbfb6ff0eac206b8815bb6b48","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.95","High performance","0.08","146","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
