"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","TestKIR","FlushEarly","Common","JVM","Dedicated","Methods","Native","Enabled","InstrumentPropertyAccessors","Reference","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"156170.06","154546","6684.694386218629","145716","186932","154317.1572495833","158022.9627504167","commonmain-plain-jar","1875.9649","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","True","True","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-08-05 02:42:23","22538211422ac5d8c61e103c0ae4d5c368283d77","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6044.7998","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","True","True","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-08-05 02:42:23","22538211422ac5d8c61e103c0ae4d5c368283d77","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137321.66","136776.5","2720.523416100479","132522","145953","136567.56938208663","138075.75061791338","commonmain-plain-linux-exe","17324.6843","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","True","True","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-08-05 02:42:23","22538211422ac5d8c61e103c0ae4d5c368283d77","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153531.64","152849","5334.2275142589815","140137","166302","152053.06756849206","155010.21243150797","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2210.8569","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","True","True","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-08-05 02:42:23","22538211422ac5d8c61e103c0ae4d5c368283d77","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3657.431","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","True","True","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-08-05 02:42:23","22538211422ac5d8c61e103c0ae4d5c368283d77","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138345.14","137238","5338.7969026509245","131986","162059","136865.30099864907","139824.97900135096","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","16843.8504","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","True","True","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-08-05 02:42:23","22538211422ac5d8c61e103c0ae4d5c368283d77","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154627.8","154172.5","3960.319240894087","144056","165280","153530.05551236728","155725.5444876327","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2210.8569","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","True","True","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-08-05 02:42:23","22538211422ac5d8c61e103c0ae4d5c368283d77","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3657.431","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","True","True","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-08-05 02:42:23","22538211422ac5d8c61e103c0ae4d5c368283d77","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137977.96","137523","4042.4655790187035","132924","157234","136857.44570913416","139098.47429086582","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","16843.8504","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","True","True","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-08-05 02:42:23","22538211422ac5d8c61e103c0ae4d5c368283d77","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154816.82","155276.5","4990.0408148917695","143702","168232","153433.65125414584","156199.98874585418","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1977.5142","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","True","True","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-08-05 02:42:23","22538211422ac5d8c61e103c0ae4d5c368283d77","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3080.5169","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","True","True","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-08-05 02:42:23","22538211422ac5d8c61e103c0ae4d5c368283d77","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138392.9","138060","3286.552745503956","133329","146012","137481.91405663535","139303.88594336464","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15711.154","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","True","True","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-08-05 02:42:23","22538211422ac5d8c61e103c0ae4d5c368283d77","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154070.16","154590.5","4306.25799657443","143969","166611","152876.5261814807","155263.7938185193","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1977.5142","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","True","True","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-08-05 02:42:23","22538211422ac5d8c61e103c0ae4d5c368283d77","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3080.5169","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","True","True","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-08-05 02:42:23","22538211422ac5d8c61e103c0ae4d5c368283d77","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137963.02","138209.5","2915.0612447796575","132907","147066","137155.00624708695","138771.03375291303","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15711.154","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","True","True","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-08-05 02:42:23","22538211422ac5d8c61e103c0ae4d5c368283d77","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
