"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","Dedicated","Reference","Enabled","JS","Native","CILabel","Common","TestKIR","JVM","FlushEarly","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"143671.76","142652.5","5901.859764169119","133932","160664","142035.84793614445","145307.67206385557","commonmain-plain-jar","1847.221","50","False","500","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-08-06 02:44:51","48ac753bce5e87b9f81f4292ff03ec7127eb4e67","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","83","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5940.9932","50","False","500","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-08-06 02:44:51","48ac753bce5e87b9f81f4292ff03ec7127eb4e67","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","83","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145182.38","144584.5","4058.9251663111845","139807","159924","144057.30334430447","146307.45665569554","commonmain-plain-linux-exe","16265.5755","50","False","500","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-08-06 02:44:51","48ac753bce5e87b9f81f4292ff03ec7127eb4e67","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","83","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141500.5","140683.5","4523.388955513017","132820","156897","140246.68055028006","142754.31944971994","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2285.7154","50","False","500","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-08-06 02:44:51","48ac753bce5e87b9f81f4292ff03ec7127eb4e67","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","83","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3867.4186","50","False","500","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-08-06 02:44:51","48ac753bce5e87b9f81f4292ff03ec7127eb4e67","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","83","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"150756.66","143930","42286.33456765619","138707","441702","139035.4860616694","162477.83393833062","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","35848.9156","50","False","500","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-08-06 02:44:51","48ac753bce5e87b9f81f4292ff03ec7127eb4e67","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","83","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142086.72","140799.5","4396.634794002879","134620","152147","140868.03501132186","143305.40498867814","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2285.7154","50","False","500","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-08-06 02:44:51","48ac753bce5e87b9f81f4292ff03ec7127eb4e67","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","83","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3867.4186","50","False","500","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-08-06 02:44:51","48ac753bce5e87b9f81f4292ff03ec7127eb4e67","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","83","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143924.96","144096","3173.6396922660465","138789","158257","143045.2719582019","144804.6480417981","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","35848.9156","50","False","500","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-08-06 02:44:51","48ac753bce5e87b9f81f4292ff03ec7127eb4e67","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","83","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142723.84","142001.5","4582.119527209286","136277","152545","141453.7412663604","143993.9387336396","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2334.4797","50","False","500","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-08-06 02:44:51","48ac753bce5e87b9f81f4292ff03ec7127eb4e67","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","83","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
