"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","InstrumentPropertyAccessors","CILabel","Reference","Methods","Native","TestKIR","Enabled","JS","FlushEarly","Common","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"239726.6","228136.5","27624.893678990153","220277","390715","232069.37013721126","247383.82986278876","commonmain-plain-jar","2229.7814","50","False","500","False","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","2026-08-07 02:14:43","7393427394e46d08f1971476971c0c647dcbee5e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.28","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.92","High performance","0.2","147","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7880.6116","50","False","500","False","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","2026-08-07 02:14:43","7393427394e46d08f1971476971c0c647dcbee5e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.28","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.92","High performance","0.2","147","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"214115.12","211360","10393.133792370925","200378","260173","211234.2902901131","216995.9497098869","commonmain-plain-win-exe","74270.9371","50","False","500","False","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","2026-08-07 02:14:43","7393427394e46d08f1971476971c0c647dcbee5e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.28","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.92","High performance","0.2","147","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230130.64","228081","9577.37299791673","220047","270751","227475.92764603032","232785.3523539697","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2804.6769","50","False","500","False","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","2026-08-07 02:14:43","7393427394e46d08f1971476971c0c647dcbee5e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.28","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.92","High performance","0.2","147","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3380.8035","50","False","500","False","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","2026-08-07 02:14:43","7393427394e46d08f1971476971c0c647dcbee5e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.28","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.92","High performance","0.2","147","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"200020.82","199114","3587.7169176545253","194984","210563","199026.35560711112","201015.2843928889","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","20895.1187","50","False","500","False","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","2026-08-07 02:14:43","7393427394e46d08f1971476971c0c647dcbee5e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.28","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.92","High performance","0.2","147","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229306.48","227662.5","6455.6745082705875","220697","253856","227517.05832100296","231095.90167899706","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2804.6769","50","False","500","False","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","2026-08-07 02:14:43","7393427394e46d08f1971476971c0c647dcbee5e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.28","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.92","High performance","0.2","147","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3380.8035","50","False","500","False","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","2026-08-07 02:14:43","7393427394e46d08f1971476971c0c647dcbee5e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.28","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.92","High performance","0.2","147","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"209336.18","206699","10699.481522227597","195521","235573","206370.43503169745","212301.92496830254","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","20895.1187","50","False","500","False","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","2026-08-07 02:14:43","7393427394e46d08f1971476971c0c647dcbee5e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.28","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.92","High performance","0.2","147","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"244466.88","252392.5","20400.683748685424","218066","287438","238812.09896674124","250121.66103325877","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2740.9445","50","False","500","False","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","2026-08-07 02:14:43","7393427394e46d08f1971476971c0c647dcbee5e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.28","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.92","High performance","0.2","147","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
