"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Common","InstrumentPropertyAccessors","Reference","Native","Enabled","JVM","Methods","Dedicated","TestKIR","CILabel","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"157380.8","156392","9602.615500423808","144880","202812","154719.09078130912","160042.50921869086","commonmain-plain-jar","2026.9362","50","False","500","True","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-07 02:46:40","2b9fa5d22ff7a4777458a347a48a64e751e55002","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6461.1144","50","False","500","True","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-07 02:46:40","2b9fa5d22ff7a4777458a347a48a64e751e55002","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137856.24","137624.5","2690.1301809027905","133084","146897","137110.57395706914","138601.90604293084","commonmain-plain-linux-exe","17276.6677","50","False","500","True","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-07 02:46:40","2b9fa5d22ff7a4777458a347a48a64e751e55002","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155160.76","155191","4319.657320875803","141506","166711","153963.4120782746","156358.10792172543","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2351.251","50","False","500","True","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-07 02:46:40","2b9fa5d22ff7a4777458a347a48a64e751e55002","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3856.2807","50","False","500","True","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-07 02:46:40","2b9fa5d22ff7a4777458a347a48a64e751e55002","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138463.52","137137.5","5941.444554782197","131975","173016","136816.6355919857","140110.4044080143","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","19161.2568","50","False","500","True","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-07 02:46:40","2b9fa5d22ff7a4777458a347a48a64e751e55002","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154311.2","155373.5","4847.0341152384835","144818","167892","152967.67068892118","155654.72931107885","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2351.251","50","False","500","True","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-07 02:46:40","2b9fa5d22ff7a4777458a347a48a64e751e55002","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3856.2807","50","False","500","True","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-07 02:46:40","2b9fa5d22ff7a4777458a347a48a64e751e55002","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137629.86","137371","2682.724688727899","131676","145181","136886.24665477322","138373.47334522675","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","19161.2568","50","False","500","True","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-07 02:46:40","2b9fa5d22ff7a4777458a347a48a64e751e55002","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154764.06","154526.5","5238.662831451615","143460","165788","153311.976747112","156216.143252888","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1882.1929","50","False","500","True","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-07 02:46:40","2b9fa5d22ff7a4777458a347a48a64e751e55002","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.67","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
